componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,271,54,352,BRC0130T,Nome não encontrado
Energia,kcal,65,12,84,BRC0130T,Nome não encontrado
Umidade,g,"82,3","16,5",107,BRC0130T,Nome não encontrado
Carboidrato total,g,"12,5","2,50","16,3",BRC0130T,Nome não encontrado
Carboidrato disponível,g,"7,60","1,52","9,88",BRC0130T,Nome não encontrado
Proteína,g,"3,47","0,69","4,51",BRC0130T,Nome não encontrado
Lipídios,g,"1,18","0,24","1,54",BRC0130T,Nome não encontrado
Fibra alimentar,g,"4,91","0,98","6,39",BRC0130T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0130T,Nome não encontrado
Cinzas,g,"0,51","0,10","0,67",BRC0130T,Nome não encontrado
Colesterol,mg,"1,07","0,21","1,39",BRC0130T,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,04","0,29",BRC0130T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,27","0,05","0,35",BRC0130T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,64","0,13","0,83",BRC0130T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0130T,Nome não encontrado
Cálcio,mg,"18,9","3,78","24,6",BRC0130T,Nome não encontrado
Ferro,mg,"0,90","0,18","1,17",BRC0130T,Nome não encontrado
Sódio,mg,"2,29","0,46","2,98",BRC0130T,Nome não encontrado
Magnésio,mg,"23,3","4,66","30,3",BRC0130T,Nome não encontrado
Fósforo,mg,"59,4","11,9","77,2",BRC0130T,Nome não encontrado
Potássio,mg,165,"33,2",215,BRC0130T,Nome não encontrado
Manganês,mg,"0,24","0,05","0,31",BRC0130T,Nome não encontrado
Zinco,mg,"1,15","0,23","1,50",BRC0130T,Nome não encontrado
Cobre,mg,"0,33","0,07","0,42",BRC0130T,Nome não encontrado
Selênio,mcg,"1,80","0,36","2,34",BRC0130T,Nome não encontrado
Vitamina A (RE),mcg,"21,1","4,23","27,5",BRC0130T,Nome não encontrado
Vitamina A (RAE),mcg,"10,9","2,17","14,1",BRC0130T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0130T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,03","0,18",BRC0130T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0130T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0130T,Nome não encontrado
Niacina,mg,"0,23","0,05","0,30",BRC0130T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,04",BRC0130T,Nome não encontrado
Vitamina B12,mcg,"0,02","0,00","0,02",BRC0130T,Nome não encontrado
Vitamina C,mg,"0,42","0,08","0,54",BRC0130T,Nome não encontrado
Equivalente de folato,mcg,"58,5","11,7","76,0",BRC0130T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0130T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0130T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0130T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0130T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0130T,Nome não encontrado
