componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,468,280,BRC0658A,Nome não encontrado
Energia,kcal,128,76,BRC0658A,Nome não encontrado
Umidade,g,"74,8","44,9",BRC0658A,Nome não encontrado
Carboidrato total,g,"10,4","6,24",BRC0658A,Nome não encontrado
Carboidrato disponível,g,"8,92","5,35",BRC0658A,Nome não encontrado
Proteína,g,"5,46","3,28",BRC0658A,Nome não encontrado
Lipídios,g,"7,48","4,49",BRC0658A,Nome não encontrado
Fibra alimentar,g,"1,48","0,89",BRC0658A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0658A,Nome não encontrado
Cinzas,g,"1,85","1,11",BRC0658A,Nome não encontrado
Colesterol,mg,"43,9","26,4",BRC0658A,Nome não encontrado
Ácidos graxos saturados,g,"3,71","2,23",BRC0658A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,98","1,19",BRC0658A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,55",BRC0658A,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08",BRC0658A,Nome não encontrado
Cálcio,mg,163,"97,9",BRC0658A,Nome não encontrado
Ferro,mg,"1,85","1,11",BRC0658A,Nome não encontrado
Sódio,mg,275,165,BRC0658A,Nome não encontrado
Magnésio,mg,"18,4","11,0",BRC0658A,Nome não encontrado
Fósforo,mg,100,"60,2",BRC0658A,Nome não encontrado
Potássio,mg,412,247,BRC0658A,Nome não encontrado
Manganês,mg,"0,89","0,53",BRC0658A,Nome não encontrado
Zinco,mg,"1,02","0,61",BRC0658A,Nome não encontrado
Cobre,mg,"0,12","0,07",BRC0658A,Nome não encontrado
Selênio,mcg,"4,85","2,91",BRC0658A,Nome não encontrado
Vitamina A (RE),mcg,280,168,BRC0658A,Nome não encontrado
Vitamina A (RAE),mcg,175,105,BRC0658A,Nome não encontrado
Vitamina D,mcg,"0,76","0,46",BRC0658A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,71","0,42",BRC0658A,Nome não encontrado
Tiamina,mg,"0,08","0,05",BRC0658A,Nome não encontrado
Riboflavina,mg,"0,20","0,12",BRC0658A,Nome não encontrado
Niacina,mg,"1,07","0,64",BRC0658A,Nome não encontrado
Vitamina B6,mg,"0,20","0,12",BRC0658A,Nome não encontrado
Vitamina B12,mcg,"0,27","0,16",BRC0658A,Nome não encontrado
Vitamina C,mg,"12,8","7,70",BRC0658A,Nome não encontrado
Equivalente de folato,mcg,"50,8","30,5",BRC0658A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0658A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0658A,Nome não encontrado
Gordura de adição,g,-,-,BRC0658A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0658A,Nome não encontrado
Proteína animal,g,-,-,BRC0658A,Nome não encontrado
