componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,495,396,222,BRC0226T,Nome não encontrado
Energia,kcal,119,94,53,BRC0226T,Nome não encontrado
Umidade,g,"71,8","57,5","32,3",BRC0226T,Nome não encontrado
Carboidrato total,g,"15,5","12,4","6,98",BRC0226T,Nome não encontrado
Carboidrato disponível,g,"9,34","7,47","4,20",BRC0226T,Nome não encontrado
Proteína,g,"6,64","5,31","2,99",BRC0226T,Nome não encontrado
Lipídios,g,"4,71","3,77","2,12",BRC0226T,Nome não encontrado
Fibra alimentar,g,"6,18","4,94","2,78",BRC0226T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0226T,Nome não encontrado
Cinzas,g,"1,29","1,03","0,58",BRC0226T,Nome não encontrado
Colesterol,mg,"10,9","8,74","4,92",BRC0226T,Nome não encontrado
Ácidos graxos saturados,g,"2,62","2,10","1,18",BRC0226T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,13","0,90","0,51",BRC0226T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,31","0,25","0,14",BRC0226T,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,10","0,06",BRC0226T,Nome não encontrado
Cálcio,mg,"31,3","25,0","14,1",BRC0226T,Nome não encontrado
Ferro,mg,"2,60","2,08","1,17",BRC0226T,Nome não encontrado
Sódio,mg,197,157,"88,8",BRC0226T,Nome não encontrado
Magnésio,mg,"26,7","21,4","12,0",BRC0226T,Nome não encontrado
Fósforo,mg,147,117,"66,3",BRC0226T,Nome não encontrado
Potássio,mg,"97,5","78,0","43,9",BRC0226T,Nome não encontrado
Manganês,mg,"0,63","0,50","0,28",BRC0226T,Nome não encontrado
Zinco,mg,"1,73","1,38","0,78",BRC0226T,Nome não encontrado
Cobre,mg,"0,33","0,27","0,15",BRC0226T,Nome não encontrado
Selênio,mcg,"2,46","1,97","1,11",BRC0226T,Nome não encontrado
Vitamina A (RE),mcg,"79,5","63,6","35,8",BRC0226T,Nome não encontrado
Vitamina A (RAE),mcg,100,"80,6","45,3",BRC0226T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0226T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,41","0,32","0,18",BRC0226T,Nome não encontrado
Tiamina,mg,"0,27","0,21","0,12",BRC0226T,Nome não encontrado
Riboflavina,mg,"0,17","0,14","0,08",BRC0226T,Nome não encontrado
Niacina,mg,"2,20","1,76","0,99",BRC0226T,Nome não encontrado
Vitamina B6,mg,"0,22","0,18","0,10",BRC0226T,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC0226T,Nome não encontrado
Vitamina C,mg,"14,4","11,5","6,50",BRC0226T,Nome não encontrado
Equivalente de folato,mcg,"64,1","51,2","28,8",BRC0226T,Nome não encontrado
Sal de adição,g,"0,47","0,38","0,21",BRC0226T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0226T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0226T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0226T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0226T,Nome não encontrado
