componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,572,342,BRC0791A,Nome não encontrado
Energia,kcal,136,81,BRC0791A,Nome não encontrado
Umidade,g,"63,5","38,1",BRC0791A,Nome não encontrado
Carboidrato total,g,"28,4","17,1",BRC0791A,Nome não encontrado
Carboidrato disponível,g,"22,4","13,5",BRC0791A,Nome não encontrado
Proteína,g,"5,49","3,30",BRC0791A,Nome não encontrado
Lipídios,g,"1,32","0,79",BRC0791A,Nome não encontrado
Fibra alimentar,g,"6,01","3,61",BRC0791A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0791A,Nome não encontrado
Cinzas,g,"1,22","0,73",BRC0791A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0791A,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,17",BRC0791A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,17","0,10",BRC0791A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,64","0,38",BRC0791A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0791A,Nome não encontrado
Cálcio,mg,"11,7","7,03",BRC0791A,Nome não encontrado
Ferro,mg,"1,00","0,60",BRC0791A,Nome não encontrado
Sódio,mg,191,114,BRC0791A,Nome não encontrado
Magnésio,mg,"31,6","19,0",BRC0791A,Nome não encontrado
Fósforo,mg,"88,5","53,1",BRC0791A,Nome não encontrado
Potássio,mg,112,"67,3",BRC0791A,Nome não encontrado
Manganês,mg,"0,53","0,32",BRC0791A,Nome não encontrado
Zinco,mg,"0,85","0,51",BRC0791A,Nome não encontrado
Cobre,mg,"0,17","0,10",BRC0791A,Nome não encontrado
Selênio,mcg,"15,1","9,06",BRC0791A,Nome não encontrado
Vitamina A (RE),mcg,"2,35","1,41",BRC0791A,Nome não encontrado
Vitamina A (RAE),mcg,"1,17","0,70",BRC0791A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0791A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,02","0,01",BRC0791A,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0791A,Nome não encontrado
Riboflavina,mg,"0,05","0,03",BRC0791A,Nome não encontrado
Niacina,mg,"1,75","1,05",BRC0791A,Nome não encontrado
Vitamina B6,mg,"0,08","0,05",BRC0791A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0791A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0791A,Nome não encontrado
Equivalente de folato,mcg,"7,37","4,42",BRC0791A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0791A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0791A,Nome não encontrado
Gordura de adição,g,-,-,BRC0791A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0791A,Nome não encontrado
Proteína animal,g,-,-,BRC0791A,Nome não encontrado
