componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,503,302,BRC0618A,Nome não encontrado
Energia,kcal,127,75,BRC0618A,Nome não encontrado
Umidade,g,"76,6","45,9",BRC0618A,Nome não encontrado
Carboidrato total,g,"10,3","6,20",BRC0618A,Nome não encontrado
Carboidrato disponível,g,"9,65","5,79",BRC0618A,Nome não encontrado
Proteína,g,"4,29","2,57",BRC0618A,Nome não encontrado
Lipídios,g,"7,71","4,63",BRC0618A,Nome não encontrado
Fibra alimentar,g,"0,69","0,41",BRC0618A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0618A,Nome não encontrado
Cinzas,g,"1,12","0,67",BRC0618A,Nome não encontrado
Colesterol,mg,"51,3","30,8",BRC0618A,Nome não encontrado
Ácidos graxos saturados,g,"3,82","2,29",BRC0618A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,10","1,26",BRC0618A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,03","0,62",BRC0618A,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,08",BRC0618A,Nome não encontrado
Cálcio,mg,"74,2","44,5",BRC0618A,Nome não encontrado
Ferro,mg,"0,51","0,31",BRC0618A,Nome não encontrado
Sódio,mg,249,149,BRC0618A,Nome não encontrado
Magnésio,mg,"12,1","7,28",BRC0618A,Nome não encontrado
Fósforo,mg,"76,9","46,1",BRC0618A,Nome não encontrado
Potássio,mg,133,"80,1",BRC0618A,Nome não encontrado
Manganês,mg,"0,10","0,06",BRC0618A,Nome não encontrado
Zinco,mg,"0,43","0,26",BRC0618A,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0618A,Nome não encontrado
Selênio,mcg,"5,59","3,35",BRC0618A,Nome não encontrado
Vitamina A (RE),mcg,"88,9","53,3",BRC0618A,Nome não encontrado
Vitamina A (RAE),mcg,"86,2","51,7",BRC0618A,Nome não encontrado
Vitamina D,mcg,"0,89","0,54",BRC0618A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,61","0,37",BRC0618A,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0618A,Nome não encontrado
Riboflavina,mg,"0,15","0,09",BRC0618A,Nome não encontrado
Niacina,mg,"0,91","0,55",BRC0618A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0618A,Nome não encontrado
Vitamina B12,mcg,"0,28","0,17",BRC0618A,Nome não encontrado
Vitamina C,mg,"2,10","1,26",BRC0618A,Nome não encontrado
Equivalente de folato,mcg,"13,4","8,05",BRC0618A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0618A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0618A,Nome não encontrado
Gordura de adição,g,-,-,BRC0618A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0618A,Nome não encontrado
Proteína animal,g,-,-,BRC0618A,Nome não encontrado
