componente,unidade,Valor por 100g,Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,1465,219,BRC0097N,Nome não encontrado
Energia,kcal,346,51,BRC0097N,Nome não encontrado
Umidade,g,"3,44","0,52",BRC0097N,Nome não encontrado
Carboidrato total,g,"3,22","0,48",BRC0097N,Nome não encontrado
Carboidrato disponível,g,"3,22","0,48",BRC0097N,Nome não encontrado
Proteína,g,"78,1","11,7",BRC0097N,Nome não encontrado
Lipídios,g,"1,56","0,23",BRC0097N,Nome não encontrado
Fibra alimentar,g,"3,10","0,47",BRC0097N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0097N,Nome não encontrado
Cinzas,g,"10,6","1,58",BRC0097N,Nome não encontrado
Colesterol,mg,"16,0","2,40",BRC0097N,Nome não encontrado
Ácidos graxos saturados,g,"0,78","0,12",BRC0097N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,16","0,02",BRC0097N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,04",BRC0097N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0097N,Nome não encontrado
Cálcio,mg,469,"70,4",BRC0097N,Nome não encontrado
Ferro,mg,"1,13","0,17",BRC0097N,Nome não encontrado
Sódio,mg,156,"23,4",BRC0097N,Nome não encontrado
Magnésio,mg,195,"29,3",BRC0097N,Nome não encontrado
Fósforo,mg,1321,198,BRC0097N,Nome não encontrado
Potássio,mg,500,"75,0",BRC0097N,Nome não encontrado
Manganês,mg,,,BRC0097N,Nome não encontrado
Zinco,mg,"6,18","0,93",BRC0097N,Nome não encontrado
Cobre,mg,"0,05","0,01",BRC0097N,Nome não encontrado
Selênio,mcg,"26,7","4,01",BRC0097N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0097N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0097N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0097N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0097N,Nome não encontrado
Tiamina,mg,"0,61","0,09",BRC0097N,Nome não encontrado
Riboflavina,mg,"2,02","0,30",BRC0097N,Nome não encontrado
Niacina,mg,"1,14","0,17",BRC0097N,Nome não encontrado
Vitamina B6,mg,"0,61","0,09",BRC0097N,Nome não encontrado
Vitamina B12,mcg,"2,45","0,37",BRC0097N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0097N,Nome não encontrado
Equivalente de folato,mcg,"33,0","4,95",BRC0097N,Nome não encontrado
Sal de adição,g,,,BRC0097N,Nome não encontrado
Açúcar de adição,g,,,BRC0097N,Nome não encontrado
Gordura de adição,g,,,BRC0097N,Nome não encontrado
Proteína vegetal,g,,,BRC0097N,Nome não encontrado
Proteína animal,g,,,BRC0097N,Nome não encontrado
