componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,97,19,14,BRC0103T,Nome não encontrado
Energia,kcal,23,4,3,BRC0103T,Nome não encontrado
Umidade,g,"92,8","18,6","13,9",BRC0103T,Nome não encontrado
Carboidrato total,g,"5,04","1,01","0,76",BRC0103T,Nome não encontrado
Carboidrato disponível,g,"2,70","0,54","0,41",BRC0103T,Nome não encontrado
Proteína,g,"1,60","0,32","0,24",BRC0103T,Nome não encontrado
Lipídios,g,"0,15","0,03","0,02",BRC0103T,Nome não encontrado
Fibra alimentar,g,"2,34","0,47","0,35",BRC0103T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0103T,Nome não encontrado
Cinzas,g,"0,37","0,07","0,05",BRC0103T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0103T,Nome não encontrado
Ácidos graxos saturados,g,"0,03","0,01","0,00",BRC0103T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,00","0,00",BRC0103T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,01","0,01",BRC0103T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0103T,Nome não encontrado
Cálcio,mg,"35,7","7,15","5,36",BRC0103T,Nome não encontrado
Ferro,mg,"0,30","0,06","0,04",BRC0103T,Nome não encontrado
Sódio,mg,127,"25,6","19,2",BRC0103T,Nome não encontrado
Magnésio,mg,"9,78","1,96","1,47",BRC0103T,Nome não encontrado
Fósforo,mg,"23,0","4,60","3,45",BRC0103T,Nome não encontrado
Potássio,mg,"95,1","19,0","14,3",BRC0103T,Nome não encontrado
Manganês,mg,"0,41","0,08","0,06",BRC0103T,Nome não encontrado
Zinco,mg,"0,23","0,05","0,03",BRC0103T,Nome não encontrado
Cobre,mg,"0,05","0,01","0,01",BRC0103T,Nome não encontrado
Selênio,mcg,"0,23","0,05","0,03",BRC0103T,Nome não encontrado
Vitamina A (RE),mcg,"20,6","4,11","3,08",BRC0103T,Nome não encontrado
Vitamina A (RAE),mcg,"10,3","2,06","1,54",BRC0103T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0103T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,25","0,05","0,04",BRC0103T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0103T,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,01",BRC0103T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0103T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0103T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0103T,Nome não encontrado
Vitamina C,mg,"0,69","0,14","0,10",BRC0103T,Nome não encontrado
Equivalente de folato,mcg,"18,7","3,74","2,81",BRC0103T,Nome não encontrado
Sal de adição,g,"0,32","0,06","0,05",BRC0103T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0103T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0103T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0103T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0103T,Nome não encontrado
