componente,unidade,Valor por 100g,Concha cheia (110 g),codigo_alimento,nome_alimento
Energia,kJ,299,328,BRC0375E,Nome não encontrado
Energia,kcal,71,78,BRC0375E,Nome não encontrado
Umidade,g,"82,8","91,1",BRC0375E,Nome não encontrado
Carboidrato total,g,"2,51","2,76",BRC0375E,Nome não encontrado
Carboidrato disponível,g,"2,06","2,26",BRC0375E,Nome não encontrado
Proteína,g,"11,1","12,3",BRC0375E,Nome não encontrado
Lipídios,g,"1,91","2,10",BRC0375E,Nome não encontrado
Fibra alimentar,g,"0,46","0,50",BRC0375E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0375E,Nome não encontrado
Cinzas,g,"1,64","1,80",BRC0375E,Nome não encontrado
Colesterol,mg,"76,5","84,1",BRC0375E,Nome não encontrado
Ácidos graxos saturados,g,"0,37","0,40",BRC0375E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,39","0,42",BRC0375E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,89",BRC0375E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0375E,Nome não encontrado
Cálcio,mg,"34,3","37,8",BRC0375E,Nome não encontrado
Ferro,mg,"7,09","7,80",BRC0375E,Nome não encontrado
Sódio,mg,372,409,BRC0375E,Nome não encontrado
Magnésio,mg,"21,0","23,2",BRC0375E,Nome não encontrado
Fósforo,mg,"96,6",106,BRC0375E,Nome não encontrado
Potássio,mg,188,206,BRC0375E,Nome não encontrado
Manganês,mg,"0,28","0,31",BRC0375E,Nome não encontrado
Zinco,mg,"1,20","1,32",BRC0375E,Nome não encontrado
Cobre,mg,"0,53","0,58",BRC0375E,Nome não encontrado
Selênio,mcg,"11,7","12,9",BRC0375E,Nome não encontrado
Vitamina A (RE),mcg,"25,9","28,5",BRC0375E,Nome não encontrado
Vitamina A (RAE),mcg,"35,3","38,9",BRC0375E,Nome não encontrado
Vitamina D,mcg,"0,07","0,08",BRC0375E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,66","0,73",BRC0375E,Nome não encontrado
Tiamina,mg,"0,05","0,06",BRC0375E,Nome não encontrado
Riboflavina,mg,"0,05","0,05",BRC0375E,Nome não encontrado
Niacina,mg,"0,98","1,08",BRC0375E,Nome não encontrado
Vitamina B6,mg,"0,11","0,13",BRC0375E,Nome não encontrado
Vitamina B12,mcg,"6,22","6,84",BRC0375E,Nome não encontrado
Vitamina C,mg,"11,0","12,1",BRC0375E,Nome não encontrado
Equivalente de folato,mcg,"13,9","15,2",BRC0375E,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0375E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0375E,Nome não encontrado
Gordura de adição,g,-,-,BRC0375E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0375E,Nome não encontrado
Proteína animal,g,-,-,BRC0375E,Nome não encontrado
