componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,606,303,667,545,BRC1095A,Nome não encontrado
Energia,kcal,144,72,158,129,BRC1095A,Nome não encontrado
Umidade,g,"68,0","34,0","74,8","61,2",BRC1095A,Nome não encontrado
Carboidrato total,g,"18,5","9,26","20,4","16,7",BRC1095A,Nome não encontrado
Carboidrato disponível,g,"16,3","8,15","17,9","14,7",BRC1095A,Nome não encontrado
Proteína,g,"8,43","4,22","9,28","7,59",BRC1095A,Nome não encontrado
Lipídios,g,"4,55","2,27","5,00","4,09",BRC1095A,Nome não encontrado
Fibra alimentar,g,"2,22","1,11","2,44","2,00",BRC1095A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1095A,Nome não encontrado
Cinzas,g,"0,49","0,24","0,54","0,44",BRC1095A,Nome não encontrado
Colesterol,mg,"14,4","7,18","15,8","12,9",BRC1095A,Nome não encontrado
Ácidos graxos saturados,g,"1,94","0,97","2,13","1,74",BRC1095A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,28","0,64","1,40","1,15",BRC1095A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,46","1,01","0,83",BRC1095A,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,04","0,08","0,07",BRC1095A,Nome não encontrado
Cálcio,mg,"30,8","15,4","33,9","27,7",BRC1095A,Nome não encontrado
Ferro,mg,"0,72","0,36","0,79","0,65",BRC1095A,Nome não encontrado
Sódio,mg,"24,5","12,3","27,0","22,1",BRC1095A,Nome não encontrado
Magnésio,mg,"12,5","6,24","13,7","11,2",BRC1095A,Nome não encontrado
Fósforo,mg,"78,3","39,2","86,2","70,5",BRC1095A,Nome não encontrado
Potássio,mg,112,"56,1",123,100,BRC1095A,Nome não encontrado
Manganês,mg,"0,18","0,09","0,20","0,16",BRC1095A,Nome não encontrado
Zinco,mg,"1,32","0,66","1,45","1,19",BRC1095A,Nome não encontrado
Cobre,mg,"0,07","0,03","0,07","0,06",BRC1095A,Nome não encontrado
Selênio,mcg,"2,72","1,36","2,99","2,45",BRC1095A,Nome não encontrado
Vitamina A (RE),mcg,"27,9","14,0","30,7","25,1",BRC1095A,Nome não encontrado
Vitamina A (RAE),mcg,"27,0","13,5","29,7","24,3",BRC1095A,Nome não encontrado
Vitamina D,mcg,"0,30","0,15","0,33","0,27",BRC1095A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,20","0,43","0,35",BRC1095A,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,08","0,06",BRC1095A,Nome não encontrado
Riboflavina,mg,"0,08","0,04","0,09","0,07",BRC1095A,Nome não encontrado
Niacina,mg,"1,77","0,89","1,95","1,60",BRC1095A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,06","0,05",BRC1095A,Nome não encontrado
Vitamina B12,mcg,"0,28","0,14","0,31","0,26",BRC1095A,Nome não encontrado
Vitamina C,mg,"0,52","0,26","0,57","0,47",BRC1095A,Nome não encontrado
Equivalente de folato,mcg,"17,5","8,76","19,3","15,8",BRC1095A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1095A,Nome não encontrado
Açúcar de adição,g,,traços,,,BRC1095A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1095A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1095A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1095A,Nome não encontrado
