componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,754,376,828,678,BRC0214A,Nome não encontrado
Energia,kcal,180,89,197,161,BRC0214A,Nome não encontrado
Umidade,g,"62,7","31,4","69,0","56,5",BRC0214A,Nome não encontrado
Carboidrato total,g,"25,8","12,9","28,4","23,3",BRC0214A,Nome não encontrado
Carboidrato disponível,g,"24,9","12,4","27,4","22,4",BRC0214A,Nome não encontrado
Proteína,g,"3,64","1,82","4,00","3,28",BRC0214A,Nome não encontrado
Lipídios,g,"7,05","3,53","7,76","6,35",BRC0214A,Nome não encontrado
Fibra alimentar,g,"0,95","0,47","1,04","0,85",BRC0214A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0214A,Nome não encontrado
Cinzas,g,"0,72","0,36","0,80","0,65",BRC0214A,Nome não encontrado
Colesterol,mg,"5,51","2,75","6,06","4,96",BRC0214A,Nome não encontrado
Ácidos graxos saturados,g,"1,15","0,57","1,26","1,03",BRC0214A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,61","0,81","1,78","1,45",BRC0214A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,10","2,05","4,51","3,69",BRC0214A,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03","0,07","0,06",BRC0214A,Nome não encontrado
Cálcio,mg,"6,88","3,44","7,56","6,19",BRC0214A,Nome não encontrado
Ferro,mg,"1,05","0,53","1,16","0,95",BRC0214A,Nome não encontrado
Sódio,mg,190,"95,2",209,171,BRC0214A,Nome não encontrado
Magnésio,mg,"1,53","0,76","1,68","1,38",BRC0214A,Nome não encontrado
Fósforo,mg,"46,0","23,0","50,5","41,4",BRC0214A,Nome não encontrado
Potássio,mg,"63,5","31,8","69,9","57,2",BRC0214A,Nome não encontrado
Manganês,mg,"0,02","0,01","0,02","0,02",BRC0214A,Nome não encontrado
Zinco,mg,"0,32","0,16","0,35","0,28",BRC0214A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,08","0,06",BRC0214A,Nome não encontrado
Selênio,mcg,"1,76","0,88","1,93","1,58",BRC0214A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0214A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0214A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0214A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,89","0,45","0,98","0,80",BRC0214A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,04","0,04",BRC0214A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,02","0,01",BRC0214A,Nome não encontrado
Niacina,mg,"1,23","0,62","1,36","1,11",BRC0214A,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,04","0,03",BRC0214A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0214A,Nome não encontrado
Vitamina C,mg,"1,49","0,74","1,64","1,34",BRC0214A,Nome não encontrado
Equivalente de folato,mcg,"60,0","30,0","66,0","54,0",BRC0214A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0214A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0214A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0214A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0214A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0214A,Nome não encontrado
