componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,50,65,BRC0245E,Nome não encontrado
Energia,kcal,12,15,BRC0245E,Nome não encontrado
Umidade,g,"97,2",126,BRC0245E,Nome não encontrado
Carboidrato total,g,"1,21","1,57",BRC0245E,Nome não encontrado
Carboidrato disponível,g,"0,94","1,22",BRC0245E,Nome não encontrado
Proteína,g,"1,17","1,52",BRC0245E,Nome não encontrado
Lipídios,g,"0,29","0,38",BRC0245E,Nome não encontrado
Fibra alimentar,g,"0,27","0,35",BRC0245E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0245E,Nome não encontrado
Cinzas,g,"0,17","0,22",BRC0245E,Nome não encontrado
Colesterol,mg,"3,05","3,97",BRC0245E,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,07",BRC0245E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,20",BRC0245E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,06","0,08",BRC0245E,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0245E,Nome não encontrado
Cálcio,mg,"5,77","7,50",BRC0245E,Nome não encontrado
Ferro,mg,"0,08","0,10",BRC0245E,Nome não encontrado
Sódio,mg,"4,62","6,01",BRC0245E,Nome não encontrado
Magnésio,mg,"2,38","3,09",BRC0245E,Nome não encontrado
Fósforo,mg,"12,1","15,7",BRC0245E,Nome não encontrado
Potássio,mg,"34,7","45,1",BRC0245E,Nome não encontrado
Manganês,mg,"0,02","0,03",BRC0245E,Nome não encontrado
Zinco,mg,"0,04","0,05",BRC0245E,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0245E,Nome não encontrado
Selênio,mcg,"0,07","0,09",BRC0245E,Nome não encontrado
Vitamina A (RE),mcg,"62,7","81,5",BRC0245E,Nome não encontrado
Vitamina A (RAE),mcg,"32,4","42,1",BRC0245E,Nome não encontrado
Vitamina D,mcg,"0,50","0,65",BRC0245E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,10",BRC0245E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0245E,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0245E,Nome não encontrado
Niacina,mg,"0,08","0,10",BRC0245E,Nome não encontrado
Vitamina B6,mg,"0,02","0,03",BRC0245E,Nome não encontrado
Vitamina B12,mcg,"0,04","0,05",BRC0245E,Nome não encontrado
Vitamina C,mg,"0,40","0,52",BRC0245E,Nome não encontrado
Equivalente de folato,mcg,"2,90","3,77",BRC0245E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0245E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0245E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0245E,Nome não encontrado
Proteína vegetal,g,"0,21","0,27",BRC0245E,Nome não encontrado
Proteína animal,g,"0,96","1,25",BRC0245E,Nome não encontrado
