componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Pedaço/ Unidade/ Fatia (M) (70 g),codigo_alimento,nome_alimento
Energia,kJ,963,240,673,BRC0317B,Nome não encontrado
Energia,kcal,230,57,161,BRC0317B,Nome não encontrado
Umidade,g,"54,6","13,6","38,2",BRC0317B,Nome não encontrado
Carboidrato total,g,"30,2","7,54","21,1",BRC0317B,Nome não encontrado
Carboidrato disponível,g,"27,4","6,84","19,2",BRC0317B,Nome não encontrado
Proteína,g,"1,36","0,34","0,95",BRC0317B,Nome não encontrado
Lipídios,g,"12,2","3,05","8,55",BRC0317B,Nome não encontrado
Fibra alimentar,g,"2,80","0,70","1,96",BRC0317B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0317B,Nome não encontrado
Cinzas,g,"1,70","0,43","1,19",BRC0317B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0317B,Nome não encontrado
Ácidos graxos saturados,g,"1,89","0,47","1,32",BRC0317B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,85","0,71","2,00",BRC0317B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"7,21","1,80","5,05",BRC0317B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0317B,Nome não encontrado
Cálcio,mg,"19,0","4,75","13,3",BRC0317B,Nome não encontrado
Ferro,mg,"0,68","0,17","0,48",BRC0317B,Nome não encontrado
Sódio,mg,191,"47,8",133,BRC0317B,Nome não encontrado
Magnésio,mg,"12,1","3,02","8,45",BRC0317B,Nome não encontrado
Fósforo,mg,"46,9","11,7","32,9",BRC0317B,Nome não encontrado
Potássio,mg,411,102,287,BRC0317B,Nome não encontrado
Manganês,mg,"0,35","0,09","0,24",BRC0317B,Nome não encontrado
Zinco,mg,"0,61","0,15","0,42",BRC0317B,Nome não encontrado
Cobre,mg,"0,27","0,07","0,19",BRC0317B,Nome não encontrado
Selênio,mcg,"0,52","0,13","0,36",BRC0317B,Nome não encontrado
Vitamina A (RE),mcg,"15,3","3,83","10,7",BRC0317B,Nome não encontrado
Vitamina A (RAE),mcg,"7,66","1,91","5,36",BRC0317B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0317B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,12","0,33",BRC0317B,Nome não encontrado
Tiamina,mg,"0,08","0,02","0,05",BRC0317B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0317B,Nome não encontrado
Niacina,mg,"3,00","0,75","2,10",BRC0317B,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0317B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0317B,Nome não encontrado
Vitamina C,mg,"24,5","6,13","17,2",BRC0317B,Nome não encontrado
Equivalente de folato,mcg,"8,29","2,07","5,81",BRC0317B,Nome não encontrado
Sal de adição,g,"0,47","0,12","0,33",BRC0317B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0317B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0317B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0317B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0317B,Nome não encontrado
