componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,347,451,BRC1090B,Nome não encontrado
Energia,kcal,83,107,BRC1090B,Nome não encontrado
Umidade,g,"81,9",106,BRC1090B,Nome não encontrado
Carboidrato total,g,"7,17","9,33",BRC1090B,Nome não encontrado
Carboidrato disponível,g,"6,04","7,85",BRC1090B,Nome não encontrado
Proteína,g,"6,23","8,10",BRC1090B,Nome não encontrado
Lipídios,g,"3,50","4,54",BRC1090B,Nome não encontrado
Fibra alimentar,g,"1,14","1,48",BRC1090B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1090B,Nome não encontrado
Cinzas,g,"1,11","1,44",BRC1090B,Nome não encontrado
Colesterol,mg,"19,2","25,0",BRC1090B,Nome não encontrado
Ácidos graxos saturados,g,"1,54","2,00",BRC1090B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,94","1,22",BRC1090B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,66","0,85",BRC1090B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,07",BRC1090B,Nome não encontrado
Cálcio,mg,"32,7","42,5",BRC1090B,Nome não encontrado
Ferro,mg,"0,34","0,44",BRC1090B,Nome não encontrado
Sódio,mg,208,270,BRC1090B,Nome não encontrado
Magnésio,mg,"9,44","12,3",BRC1090B,Nome não encontrado
Fósforo,mg,"69,5","90,3",BRC1090B,Nome não encontrado
Potássio,mg,160,208,BRC1090B,Nome não encontrado
Manganês,mg,"0,15","0,20",BRC1090B,Nome não encontrado
Zinco,mg,"0,37","0,49",BRC1090B,Nome não encontrado
Cobre,mg,"0,05","0,06",BRC1090B,Nome não encontrado
Selênio,mcg,"3,37","4,37",BRC1090B,Nome não encontrado
Vitamina A (RE),mcg,271,352,BRC1090B,Nome não encontrado
Vitamina A (RAE),mcg,148,193,BRC1090B,Nome não encontrado
Vitamina D,mcg,"0,26","0,34",BRC1090B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,12","4,06",BRC1090B,Nome não encontrado
Tiamina,mg,"0,06","0,07",BRC1090B,Nome não encontrado
Riboflavina,mg,"0,05","0,07",BRC1090B,Nome não encontrado
Niacina,mg,"1,51","1,96",BRC1090B,Nome não encontrado
Vitamina B6,mg,"0,04","0,05",BRC1090B,Nome não encontrado
Vitamina B12,mcg,"0,10","0,13",BRC1090B,Nome não encontrado
Vitamina C,mg,"3,38","4,39",BRC1090B,Nome não encontrado
Equivalente de folato,mcg,"6,19","8,05",BRC1090B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1090B,Nome não encontrado
Açúcar de adição,g,"0,47","0,61",BRC1090B,Nome não encontrado
Gordura de adição,g,-,-,BRC1090B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1090B,Nome não encontrado
Proteína animal,g,-,-,BRC1090B,Nome não encontrado
