componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,522,261,BRC0010J,Nome não encontrado
Energia,kcal,125,62,BRC0010J,Nome não encontrado
Umidade,g,"78,7","39,4",BRC0010J,Nome não encontrado
Carboidrato total,g,"1,38","0,69",BRC0010J,Nome não encontrado
Carboidrato disponível,g,"1,38","0,69",BRC0010J,Nome não encontrado
Proteína,g,"10,4","5,20",BRC0010J,Nome não encontrado
Lipídios,g,"8,70","4,35",BRC0010J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0010J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0010J,Nome não encontrado
Cinzas,g,"0,80","0,40",BRC0010J,Nome não encontrado
Colesterol,mg,364,182,BRC0010J,Nome não encontrado
Ácidos graxos saturados,g,"2,66","1,33",BRC0010J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,49","1,74",BRC0010J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,51",BRC0010J,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0010J,Nome não encontrado
Cálcio,mg,"43,2","21,6",BRC0010J,Nome não encontrado
Ferro,mg,"1,33","0,67",BRC0010J,Nome não encontrado
Sódio,mg,128,"64,0",BRC0010J,Nome não encontrado
Magnésio,mg,"9,87","4,94",BRC0010J,Nome não encontrado
Fósforo,mg,161,"80,9",BRC0010J,Nome não encontrado
Potássio,mg,121,"61,0",BRC0010J,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0010J,Nome não encontrado
Zinco,mg,"1,09","0,54",BRC0010J,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0010J,Nome não encontrado
Selênio,mcg,"15,0","7,50",BRC0010J,Nome não encontrado
Vitamina A (RE),mcg,113,"56,7",BRC0010J,Nome não encontrado
Vitamina A (RAE),mcg,113,"56,6",BRC0010J,Nome não encontrado
Vitamina D,mcg,"1,80","0,90",BRC0010J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,85","0,42",BRC0010J,Nome não encontrado
Tiamina,mg,"0,07","0,03",BRC0010J,Nome não encontrado
Riboflavina,mg,"0,26","0,13",BRC0010J,Nome não encontrado
Niacina,mg,traços,traços,BRC0010J,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0010J,Nome não encontrado
Vitamina B12,mcg,"0,93","0,47",BRC0010J,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0010J,Nome não encontrado
Equivalente de folato,mcg,"36,9","18,4",BRC0010J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0010J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0010J,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0010J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0010J,Nome não encontrado
Proteína animal,g,"10,4","5,20",BRC0010J,Nome não encontrado
