componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,489,268,97,BRC0211A,Nome não encontrado
Energia,kcal,116,63,23,BRC0211A,Nome não encontrado
Umidade,g,"71,7","39,4","14,3",BRC0211A,Nome não encontrado
Carboidrato total,g,"23,0","12,7","4,60",BRC0211A,Nome não encontrado
Carboidrato disponível,g,"20,9","11,5","4,17",BRC0211A,Nome não encontrado
Proteína,g,"2,46","1,35","0,49",BRC0211A,Nome não encontrado
Lipídios,g,"2,03","1,11","0,41",BRC0211A,Nome não encontrado
Fibra alimentar,g,"2,14","1,18","0,43",BRC0211A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0211A,Nome não encontrado
Cinzas,g,"0,83","0,46","0,17",BRC0211A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0211A,Nome não encontrado
Ácidos graxos saturados,g,"0,43","0,24","0,09",BRC0211A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,61","0,33","0,12",BRC0211A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,97","0,53","0,19",BRC0211A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0211A,Nome não encontrado
Cálcio,mg,"2,85","1,57","0,57",BRC0211A,Nome não encontrado
Ferro,mg,"0,12","0,06","0,02",BRC0211A,Nome não encontrado
Sódio,mg,188,103,"37,7",BRC0211A,Nome não encontrado
Magnésio,mg,"22,3","12,3","4,47",BRC0211A,Nome não encontrado
Fósforo,mg,"42,5","23,4","8,50",BRC0211A,Nome não encontrado
Potássio,mg,"42,8","23,5","8,55",BRC0211A,Nome não encontrado
Manganês,mg,"0,24","0,13","0,05",BRC0211A,Nome não encontrado
Zinco,mg,"0,27","0,15","0,05",BRC0211A,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00",BRC0211A,Nome não encontrado
Selênio,mcg,"0,79","0,44","0,16",BRC0211A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0211A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0211A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0211A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,34","0,19","0,07",BRC0211A,Nome não encontrado
Tiamina,mg,"0,07","0,04","0,01",BRC0211A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0211A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0211A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,02",BRC0211A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0211A,Nome não encontrado
Vitamina C,mg,"0,45","0,25","0,09",BRC0211A,Nome não encontrado
Equivalente de folato,mcg,"4,49","2,47","0,90",BRC0211A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,09",BRC0211A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0211A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0211A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0211A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0211A,Nome não encontrado
