componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,693,207,BRC0063K,Nome não encontrado
Energia,kcal,165,49,BRC0063K,Nome não encontrado
Umidade,g,"64,3","19,3",BRC0063K,Nome não encontrado
Carboidrato total,g,"24,5","7,35",BRC0063K,Nome não encontrado
Carboidrato disponível,g,"23,9","7,18",BRC0063K,Nome não encontrado
Proteína,g,"4,80","1,44",BRC0063K,Nome não encontrado
Lipídios,g,"5,40","1,62",BRC0063K,Nome não encontrado
Fibra alimentar,g,"0,58","0,17",BRC0063K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0063K,Nome não encontrado
Cinzas,g,"1,00","0,30",BRC0063K,Nome não encontrado
Colesterol,mg,"47,3","14,2",BRC0063K,Nome não encontrado
Ácidos graxos saturados,g,"3,09","0,93",BRC0063K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,70","0,51",BRC0063K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,30","0,09",BRC0063K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0063K,Nome não encontrado
Cálcio,mg,"92,5","27,7",BRC0063K,Nome não encontrado
Ferro,mg,"0,53","0,16",BRC0063K,Nome não encontrado
Sódio,mg,"36,6","11,0",BRC0063K,Nome não encontrado
Magnésio,mg,"19,3","5,78",BRC0063K,Nome não encontrado
Fósforo,mg,112,"33,8",BRC0063K,Nome não encontrado
Potássio,mg,137,"41,3",BRC0063K,Nome não encontrado
Manganês,mg,"0,06","0,02",BRC0063K,Nome não encontrado
Zinco,mg,"0,62","0,19",BRC0063K,Nome não encontrado
Cobre,mg,"0,07","0,02",BRC0063K,Nome não encontrado
Selênio,mcg,"7,13","2,14",BRC0063K,Nome não encontrado
Vitamina A (RE),mcg,"48,3","14,5",BRC0063K,Nome não encontrado
Vitamina A (RAE),mcg,"47,4","14,2",BRC0063K,Nome não encontrado
Vitamina D,mcg,,,BRC0063K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,05",BRC0063K,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0063K,Nome não encontrado
Riboflavina,mg,"0,20","0,06",BRC0063K,Nome não encontrado
Niacina,mg,"0,06","0,02",BRC0063K,Nome não encontrado
Vitamina B6,mg,"0,06","0,02",BRC0063K,Nome não encontrado
Vitamina B12,mcg,"0,45","0,14",BRC0063K,Nome não encontrado
Vitamina C,mg,"0,10","0,03",BRC0063K,Nome não encontrado
Equivalente de folato,mcg,"14,5","4,34",BRC0063K,Nome não encontrado
Sal de adição,g,,,BRC0063K,Nome não encontrado
Açúcar de adição,g,,,BRC0063K,Nome não encontrado
Gordura de adição,g,,,BRC0063K,Nome não encontrado
Proteína vegetal,g,,,BRC0063K,Nome não encontrado
Proteína animal,g,,,BRC0063K,Nome não encontrado
