componente,unidade,Valor por 100g,Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1147,114,BRC0137A,Nome não encontrado
Energia,kcal,277,27,BRC0137A,Nome não encontrado
Umidade,g,"8,18","0,82",BRC0137A,Nome não encontrado
Carboidrato total,g,"64,3","6,43",BRC0137A,Nome não encontrado
Carboidrato disponível,g,"17,8","1,78",BRC0137A,Nome não encontrado
Proteína,g,"17,5","1,75",BRC0137A,Nome não encontrado
Lipídios,g,"4,74","0,47",BRC0137A,Nome não encontrado
Fibra alimentar,g,"46,4","4,64",BRC0137A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0137A,Nome não encontrado
Cinzas,g,"5,35","0,54",BRC0137A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0137A,Nome não encontrado
Ácidos graxos saturados,g,"0,70","0,07",BRC0137A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,71","0,07",BRC0137A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,47","0,25",BRC0137A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0137A,Nome não encontrado
Cálcio,mg,"74,4","7,44",BRC0137A,Nome não encontrado
Ferro,mg,"10,8","1,08",BRC0137A,Nome não encontrado
Sódio,mg,"2,04","0,20",BRC0137A,Nome não encontrado
Magnésio,mg,622,"62,3",BRC0137A,Nome não encontrado
Fósforo,mg,1032,103,BRC0137A,Nome não encontrado
Potássio,mg,1204,120,BRC0137A,Nome não encontrado
Manganês,mg,"11,3","1,13",BRC0137A,Nome não encontrado
Zinco,mg,"7,41","0,74",BRC0137A,Nome não encontrado
Cobre,mg,"1,23","0,12",BRC0137A,Nome não encontrado
Selênio,mcg,,,BRC0137A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0137A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0137A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0137A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,66","0,17",BRC0137A,Nome não encontrado
Tiamina,mg,"0,53","0,05",BRC0137A,Nome não encontrado
Riboflavina,mg,"0,59","0,06",BRC0137A,Nome não encontrado
Niacina,mg,"13,8","1,38",BRC0137A,Nome não encontrado
Vitamina B6,mg,"1,33","0,13",BRC0137A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0137A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0137A,Nome não encontrado
Equivalente de folato,mcg,"80,5","8,05",BRC0137A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0137A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0137A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0137A,Nome não encontrado
Proteína vegetal,g,"17,5","1,75",BRC0137A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0137A,Nome não encontrado
