componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,770,423,308,BRC0509A,Nome não encontrado
Energia,kcal,184,101,73,BRC0509A,Nome não encontrado
Umidade,g,"62,5","34,4","25,0",BRC0509A,Nome não encontrado
Carboidrato total,g,"17,2","9,45","6,87",BRC0509A,Nome não encontrado
Carboidrato disponível,g,"16,1","8,87","6,45",BRC0509A,Nome não encontrado
Proteína,g,"11,0","6,06","4,41",BRC0509A,Nome não encontrado
Lipídios,g,"8,12","4,46","3,25",BRC0509A,Nome não encontrado
Fibra alimentar,g,"1,04","0,57","0,42",BRC0509A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0509A,Nome não encontrado
Cinzas,g,"1,14","0,63","0,46",BRC0509A,Nome não encontrado
Colesterol,mg,"33,2","18,3","13,3",BRC0509A,Nome não encontrado
Ácidos graxos saturados,g,"2,11","1,16","0,84",BRC0509A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,90","1,60","1,16",BRC0509A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,55","1,40","1,02",BRC0509A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02",BRC0509A,Nome não encontrado
Cálcio,mg,"23,3","12,8","9,33",BRC0509A,Nome não encontrado
Ferro,mg,"0,86","0,47","0,34",BRC0509A,Nome não encontrado
Sódio,mg,241,132,"96,6",BRC0509A,Nome não encontrado
Magnésio,mg,"21,7","11,9","8,68",BRC0509A,Nome não encontrado
Fósforo,mg,"80,6","44,3","32,2",BRC0509A,Nome não encontrado
Potássio,mg,127,"70,2","51,1",BRC0509A,Nome não encontrado
Manganês,mg,"0,56","0,31","0,22",BRC0509A,Nome não encontrado
Zinco,mg,"1,08","0,59","0,43",BRC0509A,Nome não encontrado
Cobre,mg,"0,15","0,08","0,06",BRC0509A,Nome não encontrado
Selênio,mcg,"0,95","0,52","0,38",BRC0509A,Nome não encontrado
Vitamina A (RE),mcg,"12,7","6,96","5,06",BRC0509A,Nome não encontrado
Vitamina A (RAE),mcg,"7,14","3,93","2,86",BRC0509A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0509A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,44","0,24","0,17",BRC0509A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0509A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0509A,Nome não encontrado
Niacina,mg,"2,75","1,51","1,10",BRC0509A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0509A,Nome não encontrado
Vitamina B12,mcg,"0,17","0,09","0,07",BRC0509A,Nome não encontrado
Vitamina C,mg,"2,61","1,44","1,04",BRC0509A,Nome não encontrado
Equivalente de folato,mcg,"5,04","2,77","2,02",BRC0509A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0509A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0509A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0509A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0509A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0509A,Nome não encontrado
