componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 mL),codigo_alimento,nome_alimento
Energia,kJ,367,366,BRC0137H,Nome não encontrado
Energia,kcal,88,87,BRC0137H,Nome não encontrado
Umidade,g,"84,5","84,5",BRC0137H,Nome não encontrado
Carboidrato total,g,"6,83","6,83",BRC0137H,Nome não encontrado
Carboidrato disponível,g,"6,79","6,79",BRC0137H,Nome não encontrado
Proteína,g,"0,03","0,03",BRC0137H,Nome não encontrado
Lipídios,g,"0,00","0,00",BRC0137H,Nome não encontrado
Fibra alimentar,g,"0,04","0,04",BRC0137H,Nome não encontrado
Álcool,g,"8,62","8,62",BRC0137H,Nome não encontrado
Cinzas,g,"0,06","0,06",BRC0137H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0137H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0137H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0137H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0137H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0137H,Nome não encontrado
Cálcio,mg,"2,56","2,56",BRC0137H,Nome não encontrado
Ferro,mg,"0,01","0,01",BRC0137H,Nome não encontrado
Sódio,mg,"4,87","4,87",BRC0137H,Nome não encontrado
Magnésio,mg,"0,29","0,29",BRC0137H,Nome não encontrado
Fósforo,mg,"14,1","14,1",BRC0137H,Nome não encontrado
Potássio,mg,"4,97","4,97",BRC0137H,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0137H,Nome não encontrado
Zinco,mg,"0,02","0,02",BRC0137H,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0137H,Nome não encontrado
Selênio,mcg,"0,09","0,09",BRC0137H,Nome não encontrado
Vitamina A (RE),mcg,"0,11","0,11",BRC0137H,Nome não encontrado
Vitamina A (RAE),mcg,"0,05","0,05",BRC0137H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0137H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01",BRC0137H,Nome não encontrado
Tiamina,mg,"0,01","0,01",BRC0137H,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0137H,Nome não encontrado
Niacina,mg,traços,traços,BRC0137H,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0137H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0137H,Nome não encontrado
Vitamina C,mg,"1,15","1,15",BRC0137H,Nome não encontrado
Equivalente de folato,mcg,"0,26","0,26",BRC0137H,Nome não encontrado
Sal de adição,g,,,BRC0137H,Nome não encontrado
Açúcar de adição,g,,,BRC0137H,Nome não encontrado
Gordura de adição,g,-,-,BRC0137H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0137H,Nome não encontrado
Proteína animal,g,-,-,BRC0137H,Nome não encontrado
