componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,52,67,BRC0918F,Nome não encontrado
Energia,kcal,12,15,BRC0918F,Nome não encontrado
Umidade,g,"96,6",125,BRC0918F,Nome não encontrado
Carboidrato total,g,"1,13","1,47",BRC0918F,Nome não encontrado
Carboidrato disponível,g,"0,86","1,12",BRC0918F,Nome não encontrado
Proteína,g,"1,42","1,85",BRC0918F,Nome não encontrado
Lipídios,g,"0,29","0,37",BRC0918F,Nome não encontrado
Fibra alimentar,g,"0,27","0,35",BRC0918F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0918F,Nome não encontrado
Cinzas,g,"0,60","0,78",BRC0918F,Nome não encontrado
Colesterol,mg,"2,25","2,92",BRC0918F,Nome não encontrado
Ácidos graxos saturados,g,"0,12","0,15",BRC0918F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,11","0,15",BRC0918F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,02",BRC0918F,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0918F,Nome não encontrado
Cálcio,mg,"5,79","7,52",BRC0918F,Nome não encontrado
Ferro,mg,"0,18","0,23",BRC0918F,Nome não encontrado
Sódio,mg,183,238,BRC0918F,Nome não encontrado
Magnésio,mg,"2,17","2,82",BRC0918F,Nome não encontrado
Fósforo,mg,"12,2","15,9",BRC0918F,Nome não encontrado
Potássio,mg,"41,5","53,9",BRC0918F,Nome não encontrado
Manganês,mg,"0,02","0,03",BRC0918F,Nome não encontrado
Zinco,mg,"0,29","0,37",BRC0918F,Nome não encontrado
Cobre,mg,"0,03","0,03",BRC0918F,Nome não encontrado
Selênio,mcg,"0,08","0,10",BRC0918F,Nome não encontrado
Vitamina A (RE),mcg,"78,3",101,BRC0918F,Nome não encontrado
Vitamina A (RAE),mcg,"40,2","52,3",BRC0918F,Nome não encontrado
Vitamina D,mcg,"0,01","0,01",BRC0918F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,13","0,17",BRC0918F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0918F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0918F,Nome não encontrado
Niacina,mg,"0,17","0,22",BRC0918F,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0918F,Nome não encontrado
Vitamina B12,mcg,"0,05","0,07",BRC0918F,Nome não encontrado
Vitamina C,mg,"0,55","0,71",BRC0918F,Nome não encontrado
Equivalente de folato,mcg,"2,69","3,50",BRC0918F,Nome não encontrado
Sal de adição,g,"0,45","0,59",BRC0918F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0918F,Nome não encontrado
Gordura de adição,g,-,-,BRC0918F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0918F,Nome não encontrado
Proteína animal,g,-,-,BRC0918F,Nome não encontrado
