componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,457,205,274,BRC0295E,Nome não encontrado
Energia,kcal,110,49,65,BRC0295E,Nome não encontrado
Umidade,g,"79,6","35,8","47,7",BRC0295E,Nome não encontrado
Carboidrato total,g,"3,67","1,65","2,20",BRC0295E,Nome não encontrado
Carboidrato disponível,g,"2,48","1,11","1,49",BRC0295E,Nome não encontrado
Proteína,g,"8,20","3,69","4,92",BRC0295E,Nome não encontrado
Lipídios,g,"7,16","3,22","4,30",BRC0295E,Nome não encontrado
Fibra alimentar,g,"1,19","0,54","0,72",BRC0295E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0295E,Nome não encontrado
Cinzas,g,"1,16","0,52","0,70",BRC0295E,Nome não encontrado
Colesterol,mg,100,"45,0","60,1",BRC0295E,Nome não encontrado
Ácidos graxos saturados,g,"3,15","1,42","1,89",BRC0295E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,62","0,73","0,97",BRC0295E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,89","0,40","0,54",BRC0295E,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,07","0,09",BRC0295E,Nome não encontrado
Cálcio,mg,"76,2","34,3","45,7",BRC0295E,Nome não encontrado
Ferro,mg,"0,98","0,44","0,59",BRC0295E,Nome não encontrado
Sódio,mg,216,"97,3",129,BRC0295E,Nome não encontrado
Magnésio,mg,"11,7","5,27","7,03",BRC0295E,Nome não encontrado
Fósforo,mg,163,"73,5","98,0",BRC0295E,Nome não encontrado
Potássio,mg,155,"70,2","93,6",BRC0295E,Nome não encontrado
Manganês,mg,"0,10","0,04","0,06",BRC0295E,Nome não encontrado
Zinco,mg,"0,66","0,30","0,39",BRC0295E,Nome não encontrado
Cobre,mg,"0,18","0,08","0,11",BRC0295E,Nome não encontrado
Selênio,mcg,"1,80","0,81","1,08",BRC0295E,Nome não encontrado
Vitamina A (RE),mcg,134,"60,7","81,0",BRC0295E,Nome não encontrado
Vitamina A (RAE),mcg,"70,0","31,5","42,0",BRC0295E,Nome não encontrado
Vitamina D,mcg,"0,20","0,09","0,12",BRC0295E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,42","0,64","0,85",BRC0295E,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,01",BRC0295E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02",BRC0295E,Nome não encontrado
Niacina,mg,"0,06","0,03","0,04",BRC0295E,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,03",BRC0295E,Nome não encontrado
Vitamina B12,mcg,"0,62","0,28","0,37",BRC0295E,Nome não encontrado
Vitamina C,mg,"6,22","2,80","3,73",BRC0295E,Nome não encontrado
Equivalente de folato,mcg,"13,8","6,21","8,28",BRC0295E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0295E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0295E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0295E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0295E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0295E,Nome não encontrado
