componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,315,188,125,BRC0718B,Nome não encontrado
Energia,kcal,76,45,30,BRC0718B,Nome não encontrado
Umidade,g,"86,7","52,0","34,7",BRC0718B,Nome não encontrado
Carboidrato total,g,"5,10","3,06","2,04",BRC0718B,Nome não encontrado
Carboidrato disponível,g,"3,07","1,84","1,23",BRC0718B,Nome não encontrado
Proteína,g,"1,29","0,77","0,52",BRC0718B,Nome não encontrado
Lipídios,g,"6,06","3,64","2,43",BRC0718B,Nome não encontrado
Fibra alimentar,g,"2,03","1,22","0,81",BRC0718B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0718B,Nome não encontrado
Cinzas,g,"0,81","0,48","0,32",BRC0718B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0718B,Nome não encontrado
Ácidos graxos saturados,g,"0,91","0,55","0,36",BRC0718B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,94","2,37","1,58",BRC0718B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,10","0,66","0,44",BRC0718B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0718B,Nome não encontrado
Cálcio,mg,"19,4","11,6","7,74",BRC0718B,Nome não encontrado
Ferro,mg,"0,46","0,28","0,18",BRC0718B,Nome não encontrado
Sódio,mg,125,"75,4","50,3",BRC0718B,Nome não encontrado
Magnésio,mg,"18,2","10,9","7,29",BRC0718B,Nome não encontrado
Fósforo,mg,"31,8","19,1","12,7",BRC0718B,Nome não encontrado
Potássio,mg,263,158,105,BRC0718B,Nome não encontrado
Manganês,mg,"0,11","0,07","0,04",BRC0718B,Nome não encontrado
Zinco,mg,"0,19","0,11","0,07",BRC0718B,Nome não encontrado
Cobre,mg,"0,09","0,05","0,03",BRC0718B,Nome não encontrado
Selênio,mcg,"0,13","0,08","0,05",BRC0718B,Nome não encontrado
Vitamina A (RE),mcg,"70,7","42,4","28,3",BRC0718B,Nome não encontrado
Vitamina A (RAE),mcg,"41,5","24,9","16,6",BRC0718B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0718B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,61","0,37","0,24",BRC0718B,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,02",BRC0718B,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,02",BRC0718B,Nome não encontrado
Niacina,mg,"0,16","0,10","0,06",BRC0718B,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02",BRC0718B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0718B,Nome não encontrado
Vitamina C,mg,"11,7","7,01","4,68",BRC0718B,Nome não encontrado
Equivalente de folato,mcg,"18,3","11,0","7,32",BRC0718B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0718B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0718B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0718B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0718B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0718B,Nome não encontrado
