componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,466,279,186,BRC0875B,Nome não encontrado
Energia,kcal,111,66,44,BRC0875B,Nome não encontrado
Umidade,g,"76,2","45,7","30,5",BRC0875B,Nome não encontrado
Carboidrato total,g,"17,8","10,7","7,12",BRC0875B,Nome não encontrado
Carboidrato disponível,g,"16,2","9,69","6,46",BRC0875B,Nome não encontrado
Proteína,g,"0,82","0,49","0,33",BRC0875B,Nome não encontrado
Lipídios,g,"4,46","2,67","1,78",BRC0875B,Nome não encontrado
Fibra alimentar,g,"1,65","0,99","0,66",BRC0875B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0875B,Nome não encontrado
Cinzas,g,"0,73","0,44","0,29",BRC0875B,Nome não encontrado
Colesterol,mg,"10,7","6,42","4,28",BRC0875B,Nome não encontrado
Ácidos graxos saturados,g,"2,62","1,57","1,05",BRC0875B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,14","0,68","0,45",BRC0875B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,06","0,04",BRC0875B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08","0,06",BRC0875B,Nome não encontrado
Cálcio,mg,"11,3","6,79","4,53",BRC0875B,Nome não encontrado
Ferro,mg,"0,40","0,24","0,16",BRC0875B,Nome não encontrado
Sódio,mg,"2,17","1,30","0,87",BRC0875B,Nome não encontrado
Magnésio,mg,"7,19","4,32","2,88",BRC0875B,Nome não encontrado
Fósforo,mg,"28,1","16,8","11,2",BRC0875B,Nome não encontrado
Potássio,mg,243,145,"97,2",BRC0875B,Nome não encontrado
Manganês,mg,"0,21","0,12","0,08",BRC0875B,Nome não encontrado
Zinco,mg,"0,36","0,21","0,14",BRC0875B,Nome não encontrado
Cobre,mg,"0,14","0,08","0,06",BRC0875B,Nome não encontrado
Selênio,mcg,"0,36","0,21","0,14",BRC0875B,Nome não encontrado
Vitamina A (RE),mcg,"62,1","37,3","24,8",BRC0875B,Nome não encontrado
Vitamina A (RAE),mcg,"56,4","33,8","22,6",BRC0875B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0875B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,14","0,09",BRC0875B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0875B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0875B,Nome não encontrado
Niacina,mg,"1,86","1,12","0,74",BRC0875B,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0875B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00",BRC0875B,Nome não encontrado
Vitamina C,mg,"16,1","9,64","6,43",BRC0875B,Nome não encontrado
Equivalente de folato,mcg,"6,69","4,01","2,67",BRC0875B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0875B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0875B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0875B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0875B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0875B,Nome não encontrado
