componente,unidade,Valor por 100g,Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,596,268,BRC0674A,Nome não encontrado
Energia,kcal,142,63,BRC0674A,Nome não encontrado
Umidade,g,"69,0","31,1",BRC0674A,Nome não encontrado
Carboidrato total,g,"15,5","6,96",BRC0674A,Nome não encontrado
Carboidrato disponível,g,"13,7","6,17",BRC0674A,Nome não encontrado
Proteína,g,"8,62","3,88",BRC0674A,Nome não encontrado
Lipídios,g,"5,40","2,43",BRC0674A,Nome não encontrado
Fibra alimentar,g,"1,75","0,79",BRC0674A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0674A,Nome não encontrado
Cinzas,g,"1,65","0,74",BRC0674A,Nome não encontrado
Colesterol,mg,"14,7","6,63",BRC0674A,Nome não encontrado
Ácidos graxos saturados,g,"2,48","1,11",BRC0674A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,47","0,66",BRC0674A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,42",BRC0674A,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,06",BRC0674A,Nome não encontrado
Cálcio,mg,108,"48,8",BRC0674A,Nome não encontrado
Ferro,mg,"1,21","0,54",BRC0674A,Nome não encontrado
Sódio,mg,577,259,BRC0674A,Nome não encontrado
Magnésio,mg,"10,5","4,72",BRC0674A,Nome não encontrado
Fósforo,mg,118,"53,5",BRC0674A,Nome não encontrado
Potássio,mg,150,"67,7",BRC0674A,Nome não encontrado
Manganês,mg,"0,02","0,01",BRC0674A,Nome não encontrado
Zinco,mg,"0,63","0,28",BRC0674A,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC0674A,Nome não encontrado
Selênio,mcg,"2,12","0,96",BRC0674A,Nome não encontrado
Vitamina A (RE),mcg,"25,1","11,3",BRC0674A,Nome não encontrado
Vitamina A (RAE),mcg,"12,5","5,64",BRC0674A,Nome não encontrado
Vitamina D,mcg,"0,07","0,03",BRC0674A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,14",BRC0674A,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0674A,Nome não encontrado
Riboflavina,mg,"0,05","0,02",BRC0674A,Nome não encontrado
Niacina,mg,"0,91","0,41",BRC0674A,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0674A,Nome não encontrado
Vitamina B12,mcg,"0,15","0,07",BRC0674A,Nome não encontrado
Vitamina C,mg,"3,64","1,64",BRC0674A,Nome não encontrado
Equivalente de folato,mcg,"42,5","19,1",BRC0674A,Nome não encontrado
Sal de adição,g,"0,47","0,21",BRC0674A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0674A,Nome não encontrado
Gordura de adição,g,-,-,BRC0674A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0674A,Nome não encontrado
Proteína animal,g,-,-,BRC0674A,Nome não encontrado
