componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,446,245,BRC0568N,Nome não encontrado
Energia,kcal,107,58,BRC0568N,Nome não encontrado
Umidade,g,"76,9","42,3",BRC0568N,Nome não encontrado
Carboidrato total,g,"5,59","3,08",BRC0568N,Nome não encontrado
Carboidrato disponível,g,"3,47","1,91",BRC0568N,Nome não encontrado
Proteína,g,"12,2","6,69",BRC0568N,Nome não encontrado
Lipídios,g,"4,41","2,43",BRC0568N,Nome não encontrado
Fibra alimentar,g,"2,13","1,17",BRC0568N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0568N,Nome não encontrado
Cinzas,g,"0,96","0,53",BRC0568N,Nome não encontrado
Colesterol,mg,"38,4","21,1",BRC0568N,Nome não encontrado
Ácidos graxos saturados,g,"1,28","0,71",BRC0568N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,44","0,79",BRC0568N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,37","0,75",BRC0568N,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03",BRC0568N,Nome não encontrado
Cálcio,mg,"10,6","5,81",BRC0568N,Nome não encontrado
Ferro,mg,"1,25","0,69",BRC0568N,Nome não encontrado
Sódio,mg,119,"65,8",BRC0568N,Nome não encontrado
Magnésio,mg,"18,1","9,94",BRC0568N,Nome não encontrado
Fósforo,mg,112,"61,9",BRC0568N,Nome não encontrado
Potássio,mg,247,135,BRC0568N,Nome não encontrado
Manganês,mg,"0,11","0,06",BRC0568N,Nome não encontrado
Zinco,mg,"2,82","1,55",BRC0568N,Nome não encontrado
Cobre,mg,"0,16","0,09",BRC0568N,Nome não encontrado
Selênio,mcg,"0,73","0,40",BRC0568N,Nome não encontrado
Vitamina A (RE),mcg,142,"78,5",BRC0568N,Nome não encontrado
Vitamina A (RAE),mcg,"71,5","39,4",BRC0568N,Nome não encontrado
Vitamina D,mcg,,,BRC0568N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,06","0,58",BRC0568N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0568N,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0568N,Nome não encontrado
Niacina,mg,"1,15","0,63",BRC0568N,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0568N,Nome não encontrado
Vitamina B12,mcg,"1,26","0,69",BRC0568N,Nome não encontrado
Vitamina C,mg,"1,31","0,72",BRC0568N,Nome não encontrado
Equivalente de folato,mcg,"21,6","11,9",BRC0568N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0568N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0568N,Nome não encontrado
Gordura de adição,g,-,-,BRC0568N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0568N,Nome não encontrado
Proteína animal,g,-,-,BRC0568N,Nome não encontrado
