componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,277,124,165,BRC0310E,Nome não encontrado
Energia,kcal,66,29,39,BRC0310E,Nome não encontrado
Umidade,g,"84,5","38,0","50,7",BRC0310E,Nome não encontrado
Carboidrato total,g,"3,34","1,50","2,00",BRC0310E,Nome não encontrado
Carboidrato disponível,g,"2,04","0,92","1,23",BRC0310E,Nome não encontrado
Proteína,g,"9,34","4,20","5,60",BRC0310E,Nome não encontrado
Lipídios,g,"1,97","0,88","1,18",BRC0310E,Nome não encontrado
Fibra alimentar,g,"1,30","0,58","0,78",BRC0310E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0310E,Nome não encontrado
Cinzas,g,"0,91","0,41","0,54",BRC0310E,Nome não encontrado
Colesterol,mg,"99,6","44,8","59,8",BRC0310E,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,18","0,24",BRC0310E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,31","0,14","0,19",BRC0310E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,94","0,42","0,56",BRC0310E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0310E,Nome não encontrado
Cálcio,mg,"22,2","9,98","13,3",BRC0310E,Nome não encontrado
Ferro,mg,"1,02","0,46","0,61",BRC0310E,Nome não encontrado
Sódio,mg,179,"80,8",107,BRC0310E,Nome não encontrado
Magnésio,mg,"24,6","11,1","14,8",BRC0310E,Nome não encontrado
Fósforo,mg,"21,1","9,50","12,7",BRC0310E,Nome não encontrado
Potássio,mg,198,"89,5",119,BRC0310E,Nome não encontrado
Manganês,mg,"0,14","0,06","0,09",BRC0310E,Nome não encontrado
Zinco,mg,"0,83","0,37","0,50",BRC0310E,Nome não encontrado
Cobre,mg,"0,06","0,03","0,04",BRC0310E,Nome não encontrado
Selênio,mcg,"0,83","0,37","0,50",BRC0310E,Nome não encontrado
Vitamina A (RE),mcg,"94,8","42,7","56,9",BRC0310E,Nome não encontrado
Vitamina A (RAE),mcg,"49,9","22,4","29,9",BRC0310E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,01",BRC0310E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,56","0,25","0,33",BRC0310E,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,04",BRC0310E,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,03",BRC0310E,Nome não encontrado
Niacina,mg,"1,14","0,51","0,69",BRC0310E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02",BRC0310E,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0310E,Nome não encontrado
Vitamina C,mg,"15,1","6,80","9,07",BRC0310E,Nome não encontrado
Equivalente de folato,mcg,"16,8","7,54","10,1",BRC0310E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0310E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0310E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0310E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0310E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0310E,Nome não encontrado
