componente,unidade,Valor por 100g,Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,725,326,BRC0227E,Nome não encontrado
Energia,kcal,173,77,BRC0227E,Nome não encontrado
Umidade,g,"64,5","29,0",BRC0227E,Nome não encontrado
Carboidrato total,g,"8,45","3,80",BRC0227E,Nome não encontrado
Carboidrato disponível,g,"8,45","3,80",BRC0227E,Nome não encontrado
Proteína,g,"17,9","8,07",BRC0227E,Nome não encontrado
Lipídios,g,"7,48","3,37",BRC0227E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0227E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0227E,Nome não encontrado
Cinzas,g,"1,59","0,72",BRC0227E,Nome não encontrado
Colesterol,mg,260,117,BRC0227E,Nome não encontrado
Ácidos graxos saturados,g,"1,88","0,85",BRC0227E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,75","1,24",BRC0227E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,14","0,96",BRC0227E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0227E,Nome não encontrado
Cálcio,mg,"39,0","17,6",BRC0227E,Nome não encontrado
Ferro,mg,"1,01","0,45",BRC0227E,Nome não encontrado
Sódio,mg,306,137,BRC0227E,Nome não encontrado
Magnésio,mg,"38,0","17,1",BRC0227E,Nome não encontrado
Fósforo,mg,251,112,BRC0227E,Nome não encontrado
Potássio,mg,279,125,BRC0227E,Nome não encontrado
Manganês,mg,"0,07","0,03",BRC0227E,Nome não encontrado
Zinco,mg,"1,74","0,78",BRC0227E,Nome não encontrado
Cobre,mg,"2,11","0,95",BRC0227E,Nome não encontrado
Selênio,mcg,"51,8","23,3",BRC0227E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0227E,Nome não encontrado
Vitamina A (RAE),mcg,"11,0","4,95",BRC0227E,Nome não encontrado
Vitamina D,mcg,,,BRC0227E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0227E,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0227E,Nome não encontrado
Riboflavina,mg,"0,05","0,02",BRC0227E,Nome não encontrado
Niacina,mg,"2,60","1,17",BRC0227E,Nome não encontrado
Vitamina B6,mg,"0,06","0,03",BRC0227E,Nome não encontrado
Vitamina B12,mcg,"1,23","0,55",BRC0227E,Nome não encontrado
Vitamina C,mg,"4,20","1,89",BRC0227E,Nome não encontrado
Equivalente de folato,mcg,"20,0","9,00",BRC0227E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0227E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0227E,Nome não encontrado
Gordura de adição,g,-,-,BRC0227E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0227E,Nome não encontrado
Proteína animal,g,-,-,BRC0227E,Nome não encontrado
