componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,668,334,735,601,BRC0215A,Nome não encontrado
Energia,kcal,159,79,174,142,BRC0215A,Nome não encontrado
Umidade,g,"65,9","33,0","72,5","59,3",BRC0215A,Nome não encontrado
Carboidrato total,g,"25,5","12,7","28,0","22,9",BRC0215A,Nome não encontrado
Carboidrato disponível,g,"24,7","12,4","27,2","22,2",BRC0215A,Nome não encontrado
Proteína,g,"3,45","1,73","3,80","3,11",BRC0215A,Nome não encontrado
Lipídios,g,"4,96","2,48","5,45","4,46",BRC0215A,Nome não encontrado
Fibra alimentar,g,"0,76","0,38","0,84","0,69",BRC0215A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0215A,Nome não encontrado
Cinzas,g,"0,18","0,09","0,19","0,16",BRC0215A,Nome não encontrado
Colesterol,mg,"16,5","8,27","18,2","14,9",BRC0215A,Nome não encontrado
Ácidos graxos saturados,g,"2,75","1,38","3,03","2,48",BRC0215A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,22","0,61","1,34","1,10",BRC0215A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,33","0,16","0,36","0,29",BRC0215A,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,09","0,19","0,16",BRC0215A,Nome não encontrado
Cálcio,mg,"6,33","3,16","6,96","5,69",BRC0215A,Nome não encontrado
Ferro,mg,"1,05","0,52","1,15","0,94",BRC0215A,Nome não encontrado
Sódio,mg,"2,64","1,32","2,91","2,38",BRC0215A,Nome não encontrado
Magnésio,mg,"0,07","0,04","0,08","0,06",BRC0215A,Nome não encontrado
Fósforo,mg,"37,8","18,9","41,6","34,0",BRC0215A,Nome não encontrado
Potássio,mg,"27,0","13,5","29,7","24,3",BRC0215A,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00",BRC0215A,Nome não encontrado
Zinco,mg,"0,27","0,14","0,30","0,24",BRC0215A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,05","0,04",BRC0215A,Nome não encontrado
Selênio,mcg,"1,75","0,87","1,92","1,57",BRC0215A,Nome não encontrado
Vitamina A (RE),mcg,"44,2","22,1","48,7","39,8",BRC0215A,Nome não encontrado
Vitamina A (RAE),mcg,"43,7","21,8","48,0","39,3",BRC0215A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0215A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,04","0,08","0,06",BRC0215A,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,03","0,03",BRC0215A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,02","0,02",BRC0215A,Nome não encontrado
Niacina,mg,"1,31","0,65","1,44","1,18",BRC0215A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,01","0,01",BRC0215A,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,01","0,01",BRC0215A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0215A,Nome não encontrado
Equivalente de folato,mcg,"63,7","31,8","70,0","57,3",BRC0215A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0215A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0215A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0215A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0215A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0215A,Nome não encontrado
