componente,unidade,Valor por 100g,Colher servir cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,378,151,BRC0005E,Nome não encontrado
Energia,kcal,89,35,BRC0005E,Nome não encontrado
Umidade,g,"62,9","25,2",BRC0005E,Nome não encontrado
Carboidrato total,g,"8,09","3,23",BRC0005E,Nome não encontrado
Carboidrato disponível,g,"8,09","3,23",BRC0005E,Nome não encontrado
Proteína,g,"13,3","5,32",BRC0005E,Nome não encontrado
Lipídios,g,"0,39","0,15",BRC0005E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0005E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0005E,Nome não encontrado
Cinzas,g,"15,4","6,14",BRC0005E,Nome não encontrado
Colesterol,mg,"77,0","30,8",BRC0005E,Nome não encontrado
Ácidos graxos saturados,g,"0,18","0,07",BRC0005E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,18","0,07",BRC0005E,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0005E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0005E,Nome não encontrado
Cálcio,mg,241,"96,8",BRC0005E,Nome não encontrado
Ferro,mg,"1,51","0,60",BRC0005E,Nome não encontrado
Sódio,mg,243,"97,2",BRC0005E,Nome não encontrado
Magnésio,mg,"35,4","14,1",BRC0005E,Nome não encontrado
Fósforo,mg,104,"41,6",BRC0005E,Nome não encontrado
Potássio,mg,125,"50,3",BRC0005E,Nome não encontrado
Manganês,mg,"0,05","0,02",BRC0005E,Nome não encontrado
Zinco,mg,"6,56","2,62",BRC0005E,Nome não encontrado
Cobre,mg,"1,11","0,44",BRC0005E,Nome não encontrado
Selênio,mcg,,,BRC0005E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0005E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0005E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0005E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0005E,Nome não encontrado
Tiamina,mg,"0,07","0,03",BRC0005E,Nome não encontrado
Riboflavina,mg,"0,50","0,20",BRC0005E,Nome não encontrado
Niacina,mg,"6,72","2,69",BRC0005E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0005E,Nome não encontrado
Vitamina B12,mcg,"15,9","6,37",BRC0005E,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0005E,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0005E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0005E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0005E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0005E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0005E,Nome não encontrado
Proteína animal,g,"13,3","5,32",BRC0005E,Nome não encontrado
