componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,708,424,BRC0660A,Nome não encontrado
Energia,kcal,169,101,BRC0660A,Nome não encontrado
Umidade,g,"66,8","40,1",BRC0660A,Nome não encontrado
Carboidrato total,g,"7,60","4,56",BRC0660A,Nome não encontrado
Carboidrato disponível,g,"7,28","4,37",BRC0660A,Nome não encontrado
Proteína,g,"15,8","9,49",BRC0660A,Nome não encontrado
Lipídios,g,"8,44","5,06",BRC0660A,Nome não encontrado
Fibra alimentar,g,"0,31","0,19",BRC0660A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0660A,Nome não encontrado
Cinzas,g,"1,49","0,89",BRC0660A,Nome não encontrado
Colesterol,mg,"76,6","45,9",BRC0660A,Nome não encontrado
Ácidos graxos saturados,g,"4,09","2,45",BRC0660A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,39","1,43",BRC0660A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,08","0,65",BRC0660A,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,09",BRC0660A,Nome não encontrado
Cálcio,mg,"86,8","52,1",BRC0660A,Nome não encontrado
Ferro,mg,"0,58","0,35",BRC0660A,Nome não encontrado
Sódio,mg,287,172,BRC0660A,Nome não encontrado
Magnésio,mg,"14,3","8,57",BRC0660A,Nome não encontrado
Fósforo,mg,161,"96,8",BRC0660A,Nome não encontrado
Potássio,mg,185,111,BRC0660A,Nome não encontrado
Manganês,mg,"0,06","0,04",BRC0660A,Nome não encontrado
Zinco,mg,"0,79","0,47",BRC0660A,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0660A,Nome não encontrado
Selênio,mcg,"9,44","5,66",BRC0660A,Nome não encontrado
Vitamina A (RE),mcg,"76,4","45,8",BRC0660A,Nome não encontrado
Vitamina A (RAE),mcg,"74,0","44,4",BRC0660A,Nome não encontrado
Vitamina D,mcg,"0,76","0,46",BRC0660A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,64","0,38",BRC0660A,Nome não encontrado
Tiamina,mg,"0,07","0,04",BRC0660A,Nome não encontrado
Riboflavina,mg,"0,14","0,08",BRC0660A,Nome não encontrado
Niacina,mg,"3,57","2,14",BRC0660A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0660A,Nome não encontrado
Vitamina B12,mcg,"0,32","0,19",BRC0660A,Nome não encontrado
Vitamina C,mg,"0,36","0,22",BRC0660A,Nome não encontrado
Equivalente de folato,mcg,"9,75","5,85",BRC0660A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0660A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0660A,Nome não encontrado
Gordura de adição,g,-,-,BRC0660A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0660A,Nome não encontrado
Proteína animal,g,-,-,BRC0660A,Nome não encontrado
