componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,534,293,BRC0665N,Nome não encontrado
Energia,kcal,127,70,BRC0665N,Nome não encontrado
Umidade,g,"74,5","41,0",BRC0665N,Nome não encontrado
Carboidrato total,g,"7,86","4,32",BRC0665N,Nome não encontrado
Carboidrato disponível,g,"7,05","3,88",BRC0665N,Nome não encontrado
Proteína,g,"10,7","5,91",BRC0665N,Nome não encontrado
Lipídios,g,"6,08","3,34",BRC0665N,Nome não encontrado
Fibra alimentar,g,"0,81","0,44",BRC0665N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0665N,Nome não encontrado
Cinzas,g,"0,82","0,45",BRC0665N,Nome não encontrado
Colesterol,mg,"38,1","21,0",BRC0665N,Nome não encontrado
Ácidos graxos saturados,g,"2,29","1,26",BRC0665N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,85","1,02",BRC0665N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,44","0,79",BRC0665N,Nome não encontrado
Ácidos graxos trans,g,"0,12","0,06",BRC0665N,Nome não encontrado
Cálcio,mg,"9,73","5,35",BRC0665N,Nome não encontrado
Ferro,mg,"1,32","0,72",BRC0665N,Nome não encontrado
Sódio,mg,149,"82,4",BRC0665N,Nome não encontrado
Magnésio,mg,"9,88","5,44",BRC0665N,Nome não encontrado
Fósforo,mg,"65,4","36,0",BRC0665N,Nome não encontrado
Potássio,mg,138,"76,3",BRC0665N,Nome não encontrado
Manganês,mg,"0,07","0,04",BRC0665N,Nome não encontrado
Zinco,mg,"2,83","1,55",BRC0665N,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0665N,Nome não encontrado
Selênio,mcg,"0,35","0,19",BRC0665N,Nome não encontrado
Vitamina A (RE),mcg,"22,3","12,2",BRC0665N,Nome não encontrado
Vitamina A (RAE),mcg,"11,1","6,12",BRC0665N,Nome não encontrado
Vitamina D,mcg,"0,97","0,53",BRC0665N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,15",BRC0665N,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0665N,Nome não encontrado
Riboflavina,mg,"0,03","0,02",BRC0665N,Nome não encontrado
Niacina,mg,"0,57","0,31",BRC0665N,Nome não encontrado
Vitamina B6,mg,"0,03","0,02",BRC0665N,Nome não encontrado
Vitamina B12,mcg,"0,94","0,52",BRC0665N,Nome não encontrado
Vitamina C,mg,"0,17","0,10",BRC0665N,Nome não encontrado
Equivalente de folato,mcg,"31,5","17,3",BRC0665N,Nome não encontrado
Sal de adição,g,"0,25","0,14",BRC0665N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0665N,Nome não encontrado
Gordura de adição,g,-,-,BRC0665N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0665N,Nome não encontrado
Proteína animal,g,-,-,BRC0665N,Nome não encontrado
