componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),codigo_alimento,nome_alimento
Energia,kJ,974,486,BRC0015J,Nome não encontrado
Energia,kcal,235,117,BRC0015J,Nome não encontrado
Umidade,g,"63,5","31,7",BRC0015J,Nome não encontrado
Carboidrato total,g,"1,19","0,60",BRC0015J,Nome não encontrado
Carboidrato disponível,g,"1,19","0,60",BRC0015J,Nome não encontrado
Proteína,g,"15,6","7,81",BRC0015J,Nome não encontrado
Lipídios,g,"18,6","9,30",BRC0015J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0015J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0015J,Nome não encontrado
Cinzas,g,"1,10","0,55",BRC0015J,Nome não encontrado
Colesterol,mg,516,258,BRC0015J,Nome não encontrado
Ácidos graxos saturados,g,"4,12","2,06",BRC0015J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,73","2,86",BRC0015J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,91","2,46",BRC0015J,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC0015J,Nome não encontrado
Cálcio,mg,"72,9","36,4",BRC0015J,Nome não encontrado
Ferro,mg,"2,10","1,05",BRC0015J,Nome não encontrado
Sódio,mg,166,"83,1",BRC0015J,Nome não encontrado
Magnésio,mg,"16,3","8,13",BRC0015J,Nome não encontrado
Fósforo,mg,422,211,BRC0015J,Nome não encontrado
Potássio,mg,184,"92,0",BRC0015J,Nome não encontrado
Manganês,mg,"0,03","0,02",BRC0015J,Nome não encontrado
Zinco,mg,"1,46","0,73",BRC0015J,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0015J,Nome não encontrado
Selênio,mcg,"39,6","19,8",BRC0015J,Nome não encontrado
Vitamina A (RE),mcg,102,"51,1",BRC0015J,Nome não encontrado
Vitamina A (RAE),mcg,"98,1","49,0",BRC0015J,Nome não encontrado
Vitamina D,mcg,"2,76","1,38",BRC0015J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,64","0,82",BRC0015J,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0015J,Nome não encontrado
Riboflavina,mg,"0,32","0,16",BRC0015J,Nome não encontrado
Niacina,mg,traços,traços,BRC0015J,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0015J,Nome não encontrado
Vitamina B12,mcg,"1,22","0,61",BRC0015J,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0015J,Nome não encontrado
Equivalente de folato,mcg,"63,9","31,9",BRC0015J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0015J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0015J,Nome não encontrado
Gordura de adição,g,,traços,BRC0015J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0015J,Nome não encontrado
Proteína animal,g,"15,6","7,81",BRC0015J,Nome não encontrado
