componente,unidade,Valor por 100g,Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,199,39,BRC0192B,Nome não encontrado
Energia,kcal,48,9,BRC0192B,Nome não encontrado
Umidade,g,"89,5","17,9",BRC0192B,Nome não encontrado
Carboidrato total,g,"4,60","0,92",BRC0192B,Nome não encontrado
Carboidrato disponível,g,"2,00","0,40",BRC0192B,Nome não encontrado
Proteína,g,"2,16","0,43",BRC0192B,Nome não encontrado
Lipídios,g,"2,92","0,58",BRC0192B,Nome não encontrado
Fibra alimentar,g,"2,60","0,52",BRC0192B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0192B,Nome não encontrado
Cinzas,g,"0,86","0,17",BRC0192B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0192B,Nome não encontrado
Ácidos graxos saturados,g,"0,46","0,09",BRC0192B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,90","0,38",BRC0192B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,41","0,08",BRC0192B,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,02",BRC0192B,Nome não encontrado
Cálcio,mg,"46,8","9,35",BRC0192B,Nome não encontrado
Ferro,mg,"0,58","0,12",BRC0192B,Nome não encontrado
Sódio,mg,130,"26,1",BRC0192B,Nome não encontrado
Magnésio,mg,"13,9","2,78",BRC0192B,Nome não encontrado
Fósforo,mg,"32,2","6,44",BRC0192B,Nome não encontrado
Potássio,mg,191,"38,3",BRC0192B,Nome não encontrado
Manganês,mg,"0,18","0,04",BRC0192B,Nome não encontrado
Zinco,mg,"0,36","0,07",BRC0192B,Nome não encontrado
Cobre,mg,"0,07","0,01",BRC0192B,Nome não encontrado
Selênio,mcg,"0,28","0,06",BRC0192B,Nome não encontrado
Vitamina A (RE),mcg,344,"68,8",BRC0192B,Nome não encontrado
Vitamina A (RAE),mcg,172,"34,4",BRC0192B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0192B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,85","0,37",BRC0192B,Nome não encontrado
Tiamina,mg,"0,05","0,01",BRC0192B,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0192B,Nome não encontrado
Niacina,mg,"0,02","0,00",BRC0192B,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0192B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0192B,Nome não encontrado
Vitamina C,mg,"35,8","7,15",BRC0192B,Nome não encontrado
Equivalente de folato,mcg,"64,2","12,8",BRC0192B,Nome não encontrado
Sal de adição,g,"0,32","0,06",BRC0192B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0192B,Nome não encontrado
Gordura de adição,g,-,-,BRC0192B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0192B,Nome não encontrado
Proteína animal,g,-,-,BRC0192B,Nome não encontrado
