componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,526,236,315,BRC0320E,Nome não encontrado
Energia,kcal,125,56,74,BRC0320E,Nome não encontrado
Umidade,g,"68,9","31,0","41,3",BRC0320E,Nome não encontrado
Carboidrato total,g,"2,60","1,17","1,56",BRC0320E,Nome não encontrado
Carboidrato disponível,g,"2,23","1,00","1,34",BRC0320E,Nome não encontrado
Proteína,g,"19,5","8,79","11,7",BRC0320E,Nome não encontrado
Lipídios,g,"4,13","1,86","2,48",BRC0320E,Nome não encontrado
Fibra alimentar,g,"0,38","0,17","0,23",BRC0320E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0320E,Nome não encontrado
Cinzas,g,"4,82","2,17","2,89",BRC0320E,Nome não encontrado
Colesterol,mg,"89,6","40,3","53,7",BRC0320E,Nome não encontrado
Ácidos graxos saturados,g,"0,91","0,41","0,55",BRC0320E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,16","0,52","0,70",BRC0320E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,69","0,76","1,02",BRC0320E,Nome não encontrado
Ácidos graxos trans,g,"0,81","0,36","0,48",BRC0320E,Nome não encontrado
Cálcio,mg,"53,2","24,0","31,9",BRC0320E,Nome não encontrado
Ferro,mg,"0,29","0,13","0,17",BRC0320E,Nome não encontrado
Sódio,mg,1204,542,722,BRC0320E,Nome não encontrado
Magnésio,mg,"14,7","6,60","8,79",BRC0320E,Nome não encontrado
Fósforo,mg,"49,1","22,1","29,5",BRC0320E,Nome não encontrado
Potássio,mg,"90,4","40,7","54,2",BRC0320E,Nome não encontrado
Manganês,mg,"0,08","0,03","0,05",BRC0320E,Nome não encontrado
Zinco,mg,"0,51","0,23","0,30",BRC0320E,Nome não encontrado
Cobre,mg,"0,06","0,03","0,03",BRC0320E,Nome não encontrado
Selênio,mcg,"0,06","0,03","0,03",BRC0320E,Nome não encontrado
Vitamina A (RE),mcg,"11,3","5,10","6,80",BRC0320E,Nome não encontrado
Vitamina A (RAE),mcg,"7,64","3,44","4,58",BRC0320E,Nome não encontrado
Vitamina D,mcg,"4,03","1,81","2,42",BRC0320E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,98","1,34","1,79",BRC0320E,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,02",BRC0320E,Nome não encontrado
Riboflavina,mg,"0,05","0,02","0,03",BRC0320E,Nome não encontrado
Niacina,mg,"8,55","3,85","5,13",BRC0320E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,02",BRC0320E,Nome não encontrado
Vitamina B12,mcg,"1,19","0,54","0,71",BRC0320E,Nome não encontrado
Vitamina C,mg,"9,78","4,40","5,87",BRC0320E,Nome não encontrado
Equivalente de folato,mcg,"13,6","6,13","8,17",BRC0320E,Nome não encontrado
Sal de adição,g,"0,45","0,20","0,27",BRC0320E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0320E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0320E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0320E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0320E,Nome não encontrado
