componente,unidade,Valor por 100g,Colher servir cheia (70 g),codigo_alimento,nome_alimento
Energia,kJ,1175,822,BRC0822B,Nome não encontrado
Energia,kcal,284,199,BRC0822B,Nome não encontrado
Umidade,g,"58,9","41,3",BRC0822B,Nome não encontrado
Carboidrato total,g,"6,16","4,31",BRC0822B,Nome não encontrado
Carboidrato disponível,g,"4,41","3,09",BRC0822B,Nome não encontrado
Proteína,g,"7,82","5,47",BRC0822B,Nome não encontrado
Lipídios,g,"25,8","18,1",BRC0822B,Nome não encontrado
Fibra alimentar,g,"1,75","1,23",BRC0822B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0822B,Nome não encontrado
Cinzas,g,"1,34","0,94",BRC0822B,Nome não encontrado
Colesterol,mg,"16,0","11,2",BRC0822B,Nome não encontrado
Ácidos graxos saturados,g,"8,94","6,26",BRC0822B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,1","7,74",BRC0822B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,16","3,61",BRC0822B,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02",BRC0822B,Nome não encontrado
Cálcio,mg,344,241,BRC0822B,Nome não encontrado
Ferro,mg,"4,55","3,19",BRC0822B,Nome não encontrado
Sódio,mg,297,208,BRC0822B,Nome não encontrado
Magnésio,mg,488,341,BRC0822B,Nome não encontrado
Fósforo,mg,232,162,BRC0822B,Nome não encontrado
Potássio,mg,348,244,BRC0822B,Nome não encontrado
Manganês,mg,"4,26","2,98",BRC0822B,Nome não encontrado
Zinco,mg,"4,52","3,16",BRC0822B,Nome não encontrado
Cobre,mg,"0,61","0,42",BRC0822B,Nome não encontrado
Selênio,mcg,"4,94","3,46",BRC0822B,Nome não encontrado
Vitamina A (RE),mcg,1018,713,BRC0822B,Nome não encontrado
Vitamina A (RAE),mcg,510,357,BRC0822B,Nome não encontrado
Vitamina D,mcg,"0,01","0,00",BRC0822B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,61","1,83",BRC0822B,Nome não encontrado
Tiamina,mg,"0,05","0,04",BRC0822B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0822B,Nome não encontrado
Niacina,mg,"1,57","1,10",BRC0822B,Nome não encontrado
Vitamina B6,mg,"0,08","0,06",BRC0822B,Nome não encontrado
Vitamina B12,mcg,"0,11","0,08",BRC0822B,Nome não encontrado
Vitamina C,mg,"0,67","0,47",BRC0822B,Nome não encontrado
Equivalente de folato,mcg,"24,4","17,1",BRC0822B,Nome não encontrado
Sal de adição,g,"0,45","0,32",BRC0822B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0822B,Nome não encontrado
Gordura de adição,g,-,-,BRC0822B,Nome não encontrado
Proteína vegetal,g,-,-,BRC0822B,Nome não encontrado
Proteína animal,g,-,-,BRC0822B,Nome não encontrado
