componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,213,63,BRC0005J,Nome não encontrado
Energia,kcal,50,15,BRC0005J,Nome não encontrado
Umidade,g,"87,1","26,1",BRC0005J,Nome não encontrado
Carboidrato total,g,"1,41","0,42",BRC0005J,Nome não encontrado
Carboidrato disponível,g,"1,41","0,42",BRC0005J,Nome não encontrado
Proteína,g,"10,4","3,13",BRC0005J,Nome não encontrado
Lipídios,g,"0,30","0,09",BRC0005J,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0005J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0005J,Nome não encontrado
Cinzas,g,"0,76","0,23",BRC0005J,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0005J,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0005J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0005J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0005J,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0005J,Nome não encontrado
Cálcio,mg,"6,50","1,95",BRC0005J,Nome não encontrado
Ferro,mg,"0,08","0,02",BRC0005J,Nome não encontrado
Sódio,mg,172,"51,7",BRC0005J,Nome não encontrado
Magnésio,mg,"13,1","3,93",BRC0005J,Nome não encontrado
Fósforo,mg,"15,6","4,67",BRC0005J,Nome não encontrado
Potássio,mg,169,"50,8",BRC0005J,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0005J,Nome não encontrado
Zinco,mg,"0,04","0,01",BRC0005J,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0005J,Nome não encontrado
Selênio,mcg,"5,20","1,56",BRC0005J,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0005J,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0005J,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0005J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0005J,Nome não encontrado
Tiamina,mg,traços,traços,BRC0005J,Nome não encontrado
Riboflavina,mg,"0,46","0,14",BRC0005J,Nome não encontrado
Niacina,mg,"0,11","0,03",BRC0005J,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0005J,Nome não encontrado
Vitamina B12,mcg,"0,09","0,03",BRC0005J,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0005J,Nome não encontrado
Equivalente de folato,mcg,"4,15","1,25",BRC0005J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0005J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0005J,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0005J,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0005J,Nome não encontrado
Proteína animal,g,"10,4","3,13",BRC0005J,Nome não encontrado
