componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,381,209,BRC0358N,Nome não encontrado
Energia,kcal,90,49,BRC0358N,Nome não encontrado
Umidade,g,"79,3","43,6",BRC0358N,Nome não encontrado
Carboidrato total,g,"15,7","8,63",BRC0358N,Nome não encontrado
Carboidrato disponível,g,"14,3","7,85",BRC0358N,Nome não encontrado
Proteína,g,"1,99","1,09",BRC0358N,Nome não encontrado
Lipídios,g,"2,51","1,38",BRC0358N,Nome não encontrado
Fibra alimentar,g,"1,42","0,78",BRC0358N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0358N,Nome não encontrado
Cinzas,g,"0,48","0,26",BRC0358N,Nome não encontrado
Colesterol,mg,"0,74","0,41",BRC0358N,Nome não encontrado
Ácidos graxos saturados,g,"0,41","0,23",BRC0358N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66","0,36",BRC0358N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,48","0,81",BRC0358N,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0358N,Nome não encontrado
Cálcio,mg,"7,65","4,21",BRC0358N,Nome não encontrado
Ferro,mg,"1,02","0,56",BRC0358N,Nome não encontrado
Sódio,mg,280,154,BRC0358N,Nome não encontrado
Magnésio,mg,"6,37","3,50",BRC0358N,Nome não encontrado
Fósforo,mg,"13,8","7,57",BRC0358N,Nome não encontrado
Potássio,mg,"84,1","46,2",BRC0358N,Nome não encontrado
Manganês,mg,"0,07","0,04",BRC0358N,Nome não encontrado
Zinco,mg,"0,05","0,03",BRC0358N,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0358N,Nome não encontrado
Selênio,mcg,"0,75","0,41",BRC0358N,Nome não encontrado
Vitamina A (RE),mcg,"22,6","12,5",BRC0358N,Nome não encontrado
Vitamina A (RAE),mcg,"11,3","6,23",BRC0358N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0358N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,16",BRC0358N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0358N,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0358N,Nome não encontrado
Niacina,mg,"0,08","0,05",BRC0358N,Nome não encontrado
Vitamina B6,mg,"0,01","0,00",BRC0358N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0358N,Nome não encontrado
Vitamina C,mg,"0,18","0,10",BRC0358N,Nome não encontrado
Equivalente de folato,mcg,"51,9","28,5",BRC0358N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0358N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0358N,Nome não encontrado
Gordura de adição,g,-,-,BRC0358N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0358N,Nome não encontrado
Proteína animal,g,-,-,BRC0358N,Nome não encontrado
