componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,589,294,647,530,BRC0219A,Nome não encontrado
Energia,kcal,140,69,153,125,BRC0219A,Nome não encontrado
Umidade,g,"68,0","34,0","74,8","61,2",BRC0219A,Nome não encontrado
Carboidrato total,g,"24,7","12,4","27,2","22,3",BRC0219A,Nome não encontrado
Carboidrato disponível,g,"24,0","12,0","26,4","21,6",BRC0219A,Nome não encontrado
Proteína,g,"3,98","1,99","4,38","3,58",BRC0219A,Nome não encontrado
Lipídios,g,"2,89","1,45","3,18","2,60",BRC0219A,Nome não encontrado
Fibra alimentar,g,"0,70","0,35","0,76","0,63",BRC0219A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0219A,Nome não encontrado
Cinzas,g,"0,36","0,18","0,40","0,33",BRC0219A,Nome não encontrado
Colesterol,mg,"8,63","4,32","9,49","7,77",BRC0219A,Nome não encontrado
Ácidos graxos saturados,g,"1,18","0,59","1,30","1,06",BRC0219A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,68","0,34","0,74","0,61",BRC0219A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","0,39","0,87","0,71",BRC0219A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,04","0,03",BRC0219A,Nome não encontrado
Cálcio,mg,"37,8","18,9","41,5","34,0",BRC0219A,Nome não encontrado
Ferro,mg,"0,99","0,50","1,09","0,89",BRC0219A,Nome não encontrado
Sódio,mg,"21,9","10,9","24,0","19,7",BRC0219A,Nome não encontrado
Magnésio,mg,"3,46","1,73","3,80","3,11",BRC0219A,Nome não encontrado
Fósforo,mg,"58,5","29,2","64,3","52,6",BRC0219A,Nome não encontrado
Potássio,mg,"64,6","32,3","71,0","58,1",BRC0219A,Nome não encontrado
Manganês,mg,"0,01","0,00","0,01","0,01",BRC0219A,Nome não encontrado
Zinco,mg,"0,36","0,18","0,40","0,32",BRC0219A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,05","0,04",BRC0219A,Nome não encontrado
Selênio,mcg,"2,99","1,50","3,29","2,69",BRC0219A,Nome não encontrado
Vitamina A (RE),mcg,"19,8","9,89","21,8","17,8",BRC0219A,Nome não encontrado
Vitamina A (RAE),mcg,"19,5","9,77","21,5","17,6",BRC0219A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0219A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,16","0,35","0,29",BRC0219A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,05","0,04",BRC0219A,Nome não encontrado
Riboflavina,mg,"0,08","0,04","0,09","0,07",BRC0219A,Nome não encontrado
Niacina,mg,"1,55","0,78","1,71","1,40",BRC0219A,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,01","0,01",BRC0219A,Nome não encontrado
Vitamina B12,mcg,"0,11","0,05","0,12","0,10",BRC0219A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0219A,Nome não encontrado
Equivalente de folato,mcg,"58,7","29,3","64,5","52,8",BRC0219A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0219A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0219A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0219A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0219A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0219A,Nome não encontrado
