componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,475,261,189,BRC0516A,Nome não encontrado
Energia,kcal,113,61,45,BRC0516A,Nome não encontrado
Umidade,g,"73,4","40,4","29,4",BRC0516A,Nome não encontrado
Carboidrato total,g,"16,5","9,09","6,61",BRC0516A,Nome não encontrado
Carboidrato disponível,g,"15,2","8,35","6,07",BRC0516A,Nome não encontrado
Proteína,g,"6,03","3,31","2,41",BRC0516A,Nome não encontrado
Lipídios,g,"2,79","1,54","1,12",BRC0516A,Nome não encontrado
Fibra alimentar,g,"1,34","0,74","0,54",BRC0516A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0516A,Nome não encontrado
Cinzas,g,"1,24","0,68","0,49",BRC0516A,Nome não encontrado
Colesterol,mg,"7,71","4,24","3,09",BRC0516A,Nome não encontrado
Ácidos graxos saturados,g,"0,46","0,25","0,18",BRC0516A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,60","0,33","0,24",BRC0516A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,51","0,83","0,60",BRC0516A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0516A,Nome não encontrado
Cálcio,mg,"8,47","4,66","3,39",BRC0516A,Nome não encontrado
Ferro,mg,"0,34","0,19","0,14",BRC0516A,Nome não encontrado
Sódio,mg,287,158,115,BRC0516A,Nome não encontrado
Magnésio,mg,"19,6","10,8","7,82",BRC0516A,Nome não encontrado
Fósforo,mg,"65,4","36,0","26,2",BRC0516A,Nome não encontrado
Potássio,mg,151,"83,3","60,6",BRC0516A,Nome não encontrado
Manganês,mg,"0,50","0,28","0,20",BRC0516A,Nome não encontrado
Zinco,mg,"0,40","0,22","0,16",BRC0516A,Nome não encontrado
Cobre,mg,"0,14","0,07","0,05",BRC0516A,Nome não encontrado
Selênio,mcg,"7,93","4,36","3,17",BRC0516A,Nome não encontrado
Vitamina A (RE),mcg,"27,9","15,3","11,2",BRC0516A,Nome não encontrado
Vitamina A (RAE),mcg,"14,6","8,01","5,82",BRC0516A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0516A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,70","0,38","0,28",BRC0516A,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0516A,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00",BRC0516A,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0516A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0516A,Nome não encontrado
Vitamina B12,mcg,"0,21","0,11","0,08",BRC0516A,Nome não encontrado
Vitamina C,mg,"21,5","11,8","8,59",BRC0516A,Nome não encontrado
Equivalente de folato,mcg,"7,27","4,00","2,91",BRC0516A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0516A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0516A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0516A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0516A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0516A,Nome não encontrado
