componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,605,483,272,BRC1052B,Nome não encontrado
Energia,kcal,144,115,64,BRC1052B,Nome não encontrado
Umidade,g,"67,9","54,3","30,6",BRC1052B,Nome não encontrado
Carboidrato total,g,"25,9","20,7","11,7",BRC1052B,Nome não encontrado
Carboidrato disponível,g,"24,4","19,5","11,0",BRC1052B,Nome não encontrado
Proteína,g,"0,85","0,68","0,38",BRC1052B,Nome não encontrado
Lipídios,g,"4,42","3,54","1,99",BRC1052B,Nome não encontrado
Fibra alimentar,g,"1,51","1,21","0,68",BRC1052B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1052B,Nome não encontrado
Cinzas,g,"0,91","0,73","0,41",BRC1052B,Nome não encontrado
Colesterol,mg,"10,9","8,74","4,92",BRC1052B,Nome não encontrado
Ácidos graxos saturados,g,"2,60","2,08","1,17",BRC1052B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,15","0,92","0,52",BRC1052B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,12","0,07",BRC1052B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,10","0,06",BRC1052B,Nome não encontrado
Cálcio,mg,"26,7","21,4","12,0",BRC1052B,Nome não encontrado
Ferro,mg,"0,07","0,06","0,03",BRC1052B,Nome não encontrado
Sódio,mg,195,156,"87,8",BRC1052B,Nome não encontrado
Magnésio,mg,"23,7","18,9","10,7",BRC1052B,Nome não encontrado
Fósforo,mg,"27,4","22,0","12,3",BRC1052B,Nome não encontrado
Potássio,mg,"98,3","78,7","44,2",BRC1052B,Nome não encontrado
Manganês,mg,"0,05","0,04","0,02",BRC1052B,Nome não encontrado
Zinco,mg,"0,19","0,15","0,08",BRC1052B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01",BRC1052B,Nome não encontrado
Selênio,mcg,"0,94","0,75","0,42",BRC1052B,Nome não encontrado
Vitamina A (RE),mcg,"60,8","48,6","27,3",BRC1052B,Nome não encontrado
Vitamina A (RAE),mcg,"55,7","44,6","25,1",BRC1052B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1052B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,23","0,18","0,10",BRC1052B,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,02",BRC1052B,Nome não encontrado
Riboflavina,mg,"0,02","0,02","0,01",BRC1052B,Nome não encontrado
Niacina,mg,"0,14","0,12","0,06",BRC1052B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC1052B,Nome não encontrado
Vitamina B12,mcg,"0,04","0,04","0,02",BRC1052B,Nome não encontrado
Vitamina C,mg,"9,34","7,47","4,20",BRC1052B,Nome não encontrado
Equivalente de folato,mcg,"8,85","7,08","3,98",BRC1052B,Nome não encontrado
Sal de adição,g,"0,47","0,38","0,21",BRC1052B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1052B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1052B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1052B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1052B,Nome não encontrado
