componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,466,279,BRC0153T,Nome não encontrado
Energia,kcal,112,67,BRC0153T,Nome não encontrado
Umidade,g,"73,5","44,1",BRC0153T,Nome não encontrado
Carboidrato total,g,"15,4","9,24",BRC0153T,Nome não encontrado
Carboidrato disponível,g,"9,13","5,48",BRC0153T,Nome não encontrado
Proteína,g,"5,07","3,04",BRC0153T,Nome não encontrado
Lipídios,g,"4,70","2,82",BRC0153T,Nome não encontrado
Fibra alimentar,g,"6,42","3,85",BRC0153T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0153T,Nome não encontrado
Cinzas,g,"1,25","0,75",BRC0153T,Nome não encontrado
Colesterol,mg,"4,47","2,68",BRC0153T,Nome não encontrado
Ácidos graxos saturados,g,"1,26","0,76",BRC0153T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,64","0,99",BRC0153T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,58","0,95",BRC0153T,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02",BRC0153T,Nome não encontrado
Cálcio,mg,"22,9","13,8",BRC0153T,Nome não encontrado
Ferro,mg,"1,34","0,80",BRC0153T,Nome não encontrado
Sódio,mg,256,154,BRC0153T,Nome não encontrado
Magnésio,mg,"30,1","18,0",BRC0153T,Nome não encontrado
Fósforo,mg,"74,2","44,5",BRC0153T,Nome não encontrado
Potássio,mg,206,123,BRC0153T,Nome não encontrado
Manganês,mg,"0,28","0,17",BRC0153T,Nome não encontrado
Zinco,mg,"1,40","0,84",BRC0153T,Nome não encontrado
Cobre,mg,"0,40","0,24",BRC0153T,Nome não encontrado
Selênio,mcg,"2,16","1,30",BRC0153T,Nome não encontrado
Vitamina A (RE),mcg,"4,64","2,78",BRC0153T,Nome não encontrado
Vitamina A (RAE),mcg,"2,32","1,39",BRC0153T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0153T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,10",BRC0153T,Nome não encontrado
Tiamina,mg,"0,05","0,03",BRC0153T,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0153T,Nome não encontrado
Niacina,mg,"0,26","0,15",BRC0153T,Nome não encontrado
Vitamina B6,mg,"0,05","0,03",BRC0153T,Nome não encontrado
Vitamina B12,mcg,"0,09","0,05",BRC0153T,Nome não encontrado
Vitamina C,mg,"0,53","0,32",BRC0153T,Nome não encontrado
Equivalente de folato,mcg,"74,6","44,8",BRC0153T,Nome não encontrado
Sal de adição,g,"0,45","0,27",BRC0153T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0153T,Nome não encontrado
Gordura de adição,g,-,-,BRC0153T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0153T,Nome não encontrado
Proteína animal,g,-,-,BRC0153T,Nome não encontrado
