componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,252,100,50,BRC0119E,Nome não encontrado
Energia,kcal,60,24,12,BRC0119E,Nome não encontrado
Umidade,g,"86,5","34,6","17,3",BRC0119E,Nome não encontrado
Carboidrato total,g,"4,84","1,94","0,97",BRC0119E,Nome não encontrado
Carboidrato disponível,g,"3,30","1,32","0,66",BRC0119E,Nome não encontrado
Proteína,g,"4,50","1,80","0,90",BRC0119E,Nome não encontrado
Lipídios,g,"2,90","1,16","0,58",BRC0119E,Nome não encontrado
Fibra alimentar,g,"1,55","0,62","0,31",BRC0119E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0119E,Nome não encontrado
Cinzas,g,"1,41","0,56","0,28",BRC0119E,Nome não encontrado
Colesterol,mg,"35,4","14,1","7,07",BRC0119E,Nome não encontrado
Ácidos graxos saturados,g,"0,46","0,18","0,09",BRC0119E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,99","0,39","0,20",BRC0119E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,18","0,47","0,24",BRC0119E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0119E,Nome não encontrado
Cálcio,mg,"23,8","9,51","4,75",BRC0119E,Nome não encontrado
Ferro,mg,"0,50","0,20","0,10",BRC0119E,Nome não encontrado
Sódio,mg,340,136,"68,1",BRC0119E,Nome não encontrado
Magnésio,mg,"16,3","6,52","3,26",BRC0119E,Nome não encontrado
Fósforo,mg,100,"40,2","20,1",BRC0119E,Nome não encontrado
Potássio,mg,173,"69,6","34,8",BRC0119E,Nome não encontrado
Manganês,mg,"0,07","0,03","0,01",BRC0119E,Nome não encontrado
Zinco,mg,"0,34","0,14","0,07",BRC0119E,Nome não encontrado
Cobre,mg,"0,10","0,04","0,02",BRC0119E,Nome não encontrado
Selênio,mcg,"8,60","3,44","1,72",BRC0119E,Nome não encontrado
Vitamina A (RE),mcg,"69,5","27,8","13,9",BRC0119E,Nome não encontrado
Vitamina A (RAE),mcg,"37,3","14,9","7,47",BRC0119E,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00",BRC0119E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,83","0,33","0,17",BRC0119E,Nome não encontrado
Tiamina,mg,"0,06","0,02","0,01",BRC0119E,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0119E,Nome não encontrado
Niacina,mg,"0,01","0,01","0,00",BRC0119E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0119E,Nome não encontrado
Vitamina B12,mcg,"0,22","0,09","0,04",BRC0119E,Nome não encontrado
Vitamina C,mg,"12,6","5,02","2,51",BRC0119E,Nome não encontrado
Equivalente de folato,mcg,"15,6","6,23","3,11",BRC0119E,Nome não encontrado
Sal de adição,g,"0,45","0,18","0,09",BRC0119E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0119E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0119E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0119E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0119E,Nome não encontrado
