componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,694,694,BRC0133E,Nome não encontrado
Energia,kcal,165,165,BRC0133E,Nome não encontrado
Umidade,g,"64,0","64,0",BRC0133E,Nome não encontrado
Carboidrato total,g,"0,52","0,52",BRC0133E,Nome não encontrado
Carboidrato disponível,g,"0,02","0,02",BRC0133E,Nome não encontrado
Proteína,g,"27,6","27,6",BRC0133E,Nome não encontrado
Lipídios,g,"5,98","5,98",BRC0133E,Nome não encontrado
Fibra alimentar,g,"0,51","0,51",BRC0133E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0133E,Nome não encontrado
Cinzas,g,"1,97","1,97",BRC0133E,Nome não encontrado
Colesterol,mg,"50,7","50,7",BRC0133E,Nome não encontrado
Ácidos graxos saturados,g,"1,30","1,30",BRC0133E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,38","1,38",BRC0133E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,02","3,02",BRC0133E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,03",BRC0133E,Nome não encontrado
Cálcio,mg,"10,3","10,3",BRC0133E,Nome não encontrado
Ferro,mg,"1,44","1,44",BRC0133E,Nome não encontrado
Sódio,mg,212,212,BRC0133E,Nome não encontrado
Magnésio,mg,"37,3","37,3",BRC0133E,Nome não encontrado
Fósforo,mg,276,276,BRC0133E,Nome não encontrado
Potássio,mg,383,383,BRC0133E,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0133E,Nome não encontrado
Zinco,mg,"0,47","0,47",BRC0133E,Nome não encontrado
Cobre,mg,"0,13","0,13",BRC0133E,Nome não encontrado
Selênio,mcg,"32,7","32,7",BRC0133E,Nome não encontrado
Vitamina A (RE),mcg,"39,6","39,6",BRC0133E,Nome não encontrado
Vitamina A (RAE),mcg,"29,5","29,5",BRC0133E,Nome não encontrado
Vitamina D,mcg,"0,97","0,97",BRC0133E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,79","0,79",BRC0133E,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0133E,Nome não encontrado
Riboflavina,mg,"0,05","0,05",BRC0133E,Nome não encontrado
Niacina,mg,"5,98","5,98",BRC0133E,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0133E,Nome não encontrado
Vitamina B12,mcg,"7,60","7,60",BRC0133E,Nome não encontrado
Vitamina C,mg,"9,35","9,35",BRC0133E,Nome não encontrado
Equivalente de folato,mcg,"13,6","13,6",BRC0133E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0133E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0133E,Nome não encontrado
Gordura de adição,g,-,-,BRC0133E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0133E,Nome não encontrado
Proteína animal,g,-,-,BRC0133E,Nome não encontrado
