componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,720,359,791,647,BRC1099A,Nome não encontrado
Energia,kcal,172,85,188,154,BRC1099A,Nome não encontrado
Umidade,g,"63,6","31,8","69,9","57,2",BRC1099A,Nome não encontrado
Carboidrato total,g,"20,0","10,0","22,1","18,0",BRC1099A,Nome não encontrado
Carboidrato disponível,g,"17,3","8,66","19,1","15,6",BRC1099A,Nome não encontrado
Proteína,g,"9,34","4,67","10,3","8,41",BRC1099A,Nome não encontrado
Lipídios,g,"6,61","3,30","7,27","5,95",BRC1099A,Nome não encontrado
Fibra alimentar,g,"2,73","1,36","3,00","2,45",BRC1099A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1099A,Nome não encontrado
Cinzas,g,"0,45","0,23","0,50","0,41",BRC1099A,Nome não encontrado
Colesterol,mg,"10,1","5,05","11,1","9,10",BRC1099A,Nome não encontrado
Ácidos graxos saturados,g,"1,43","0,72","1,58","1,29",BRC1099A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,72","0,86","1,90","1,55",BRC1099A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,16","1,58","3,48","2,85",BRC1099A,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03","0,06","0,05",BRC1099A,Nome não encontrado
Cálcio,mg,"12,3","6,13","13,5","11,0",BRC1099A,Nome não encontrado
Ferro,mg,"0,87","0,43","0,95","0,78",BRC1099A,Nome não encontrado
Sódio,mg,"12,8","6,39","14,1","11,5",BRC1099A,Nome não encontrado
Magnésio,mg,"12,8","6,39","14,1","11,5",BRC1099A,Nome não encontrado
Fósforo,mg,"74,8","37,4","82,3","67,3",BRC1099A,Nome não encontrado
Potássio,mg,119,"59,8",131,107,BRC1099A,Nome não encontrado
Manganês,mg,"0,27","0,13","0,30","0,24",BRC1099A,Nome não encontrado
Zinco,mg,"1,51","0,76","1,66","1,36",BRC1099A,Nome não encontrado
Cobre,mg,"0,09","0,05","0,10","0,08",BRC1099A,Nome não encontrado
Selênio,mcg,"1,98","0,99","2,17","1,78",BRC1099A,Nome não encontrado
Vitamina A (RE),mcg,"10,4","5,20","11,4","9,35",BRC1099A,Nome não encontrado
Vitamina A (RAE),mcg,"5,42","2,71","5,96","4,88",BRC1099A,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,06","0,05",BRC1099A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,20","0,43","0,35",BRC1099A,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,08","0,07",BRC1099A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,05","0,04",BRC1099A,Nome não encontrado
Niacina,mg,"1,76","0,88","1,93","1,58",BRC1099A,Nome não encontrado
Vitamina B6,mg,"0,09","0,04","0,09","0,08",BRC1099A,Nome não encontrado
Vitamina B12,mcg,"0,24","0,12","0,27","0,22",BRC1099A,Nome não encontrado
Vitamina C,mg,"1,66","0,83","1,83","1,50",BRC1099A,Nome não encontrado
Equivalente de folato,mcg,"15,7","7,86","17,3","14,2",BRC1099A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1099A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC1099A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1099A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1099A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1099A,Nome não encontrado
