componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,49,12,BRC0018N,Nome não encontrado
Energia,kcal,12,2,BRC0018N,Nome não encontrado
Umidade,g,"97,2","24,3",BRC0018N,Nome não encontrado
Carboidrato total,g,"1,10","0,28",BRC0018N,Nome não encontrado
Carboidrato disponível,g,"1,10","0,28",BRC0018N,Nome não encontrado
Proteína,g,"1,58","0,40",BRC0018N,Nome não encontrado
Lipídios,g,"0,10","0,03",BRC0018N,Nome não encontrado
Fibra alimentar,g,,,BRC0018N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0018N,Nome não encontrado
Cinzas,g,"0,06","0,02",BRC0018N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0018N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0018N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0018N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0018N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0018N,Nome não encontrado
Cálcio,mg,"1,62","0,41",BRC0018N,Nome não encontrado
Ferro,mg,"0,01","0,00",BRC0018N,Nome não encontrado
Sódio,mg,"25,9","6,48",BRC0018N,Nome não encontrado
Magnésio,mg,"0,54","0,14",BRC0018N,Nome não encontrado
Fósforo,mg,"36,7","9,18",BRC0018N,Nome não encontrado
Potássio,mg,"0,54","0,14",BRC0018N,Nome não encontrado
Manganês,mg,,,BRC0018N,Nome não encontrado
Zinco,mg,"25,9","6,48",BRC0018N,Nome não encontrado
Cobre,mg,,,BRC0018N,Nome não encontrado
Selênio,mcg,,,BRC0018N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0018N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0018N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0018N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0018N,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0018N,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0018N,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0018N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0018N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0018N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0018N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0018N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0018N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0018N,Nome não encontrado
Gordura de adição,g,,,BRC0018N,Nome não encontrado
Proteína vegetal,g,,,BRC0018N,Nome não encontrado
Proteína animal,g,,,BRC0018N,Nome não encontrado
