componente,unidade,Valor por 100g,Colher servir cheia (45 g),Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,243,109,146,BRC0312E,Nome não encontrado
Energia,kcal,58,26,34,BRC0312E,Nome não encontrado
Umidade,g,"86,2","38,8","51,7",BRC0312E,Nome não encontrado
Carboidrato total,g,"3,34","1,50","2,00",BRC0312E,Nome não encontrado
Carboidrato disponível,g,"2,04","0,92","1,23",BRC0312E,Nome não encontrado
Proteína,g,"7,33","3,30","4,40",BRC0312E,Nome não encontrado
Lipídios,g,"2,00","0,90","1,20",BRC0312E,Nome não encontrado
Fibra alimentar,g,"1,30","0,58","0,78",BRC0312E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0312E,Nome não encontrado
Cinzas,g,"1,12","0,50","0,67",BRC0312E,Nome não encontrado
Colesterol,mg,"7,95","3,58","4,77",BRC0312E,Nome não encontrado
Ácidos graxos saturados,g,"0,36","0,16","0,21",BRC0312E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,19","0,26",BRC0312E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,95","0,43","0,57",BRC0312E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0312E,Nome não encontrado
Cálcio,mg,"23,2","10,4","13,9",BRC0312E,Nome não encontrado
Ferro,mg,"17,2","7,73","10,3",BRC0312E,Nome não encontrado
Sódio,mg,111,"50,0","66,6",BRC0312E,Nome não encontrado
Magnésio,mg,"14,0","6,30","8,40",BRC0312E,Nome não encontrado
Fósforo,mg,"77,9","35,1","46,7",BRC0312E,Nome não encontrado
Potássio,mg,174,"78,4",104,BRC0312E,Nome não encontrado
Manganês,mg,908,408,544,BRC0312E,Nome não encontrado
Zinco,mg,"1,38","0,62","0,83",BRC0312E,Nome não encontrado
Cobre,mg,"1,21","0,55","0,73",BRC0312E,Nome não encontrado
Selênio,mcg,"0,83","0,37","0,50",BRC0312E,Nome não encontrado
Vitamina A (RE),mcg,"94,8","42,7","56,9",BRC0312E,Nome não encontrado
Vitamina A (RAE),mcg,"62,8","28,3","37,7",BRC0312E,Nome não encontrado
Vitamina D,mcg,"0,01","0,00","0,01",BRC0312E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,56","0,25","0,33",BRC0312E,Nome não encontrado
Tiamina,mg,"0,08","0,04","0,05",BRC0312E,Nome não encontrado
Riboflavina,mg,"0,11","0,05","0,07",BRC0312E,Nome não encontrado
Niacina,mg,"1,03","0,46","0,62",BRC0312E,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,03",BRC0312E,Nome não encontrado
Vitamina B12,mcg,"4,78","2,15","2,87",BRC0312E,Nome não encontrado
Vitamina C,mg,"17,4","7,84","10,5",BRC0312E,Nome não encontrado
Equivalente de folato,mcg,"31,9","14,4","19,1",BRC0312E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0312E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0312E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0312E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0312E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0312E,Nome não encontrado
