componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 g),codigo_alimento,nome_alimento
Energia,kJ,1366,1502,BRC0680F,Nome não encontrado
Energia,kcal,330,363,BRC0680F,Nome não encontrado
Umidade,g,"55,0","60,5",BRC0680F,Nome não encontrado
Carboidrato total,g,"1,00","1,10",BRC0680F,Nome não encontrado
Carboidrato disponível,g,"1,00","1,10",BRC0680F,Nome não encontrado
Proteína,g,"15,1","16,6",BRC0680F,Nome não encontrado
Lipídios,g,"29,7","32,6",BRC0680F,Nome não encontrado
Fibra alimentar,g,"0,13","0,14",BRC0680F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0680F,Nome não encontrado
Cinzas,g,"1,29","1,42",BRC0680F,Nome não encontrado
Colesterol,mg,"39,0","42,9",BRC0680F,Nome não encontrado
Ácidos graxos saturados,g,"13,5","14,9",BRC0680F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"11,7","12,8",BRC0680F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,99","1,09",BRC0680F,Nome não encontrado
Ácidos graxos trans,g,"0,82","0,90",BRC0680F,Nome não encontrado
Cálcio,mg,"1,00","1,10",BRC0680F,Nome não encontrado
Ferro,mg,"1,10","1,21",BRC0680F,Nome não encontrado
Sódio,mg,242,266,BRC0680F,Nome não encontrado
Magnésio,mg,"12,0","13,2",BRC0680F,Nome não encontrado
Fósforo,mg,120,132,BRC0680F,Nome não encontrado
Potássio,mg,150,165,BRC0680F,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0680F,Nome não encontrado
Zinco,mg,"2,44","2,68",BRC0680F,Nome não encontrado
Cobre,mg,"0,01","0,01",BRC0680F,Nome não encontrado
Selênio,mcg,"5,10","5,61",BRC0680F,Nome não encontrado
Vitamina A (RE),mcg,"4,00","4,40",BRC0680F,Nome não encontrado
Vitamina A (RAE),mcg,"4,00","4,40",BRC0680F,Nome não encontrado
Vitamina D,mcg,"0,39","0,43",BRC0680F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,55","1,71",BRC0680F,Nome não encontrado
Tiamina,mg,"0,07","0,08",BRC0680F,Nome não encontrado
Riboflavina,mg,"0,10","0,11",BRC0680F,Nome não encontrado
Niacina,mg,"4,29","4,72",BRC0680F,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0680F,Nome não encontrado
Vitamina B12,mcg,"1,10","1,21",BRC0680F,Nome não encontrado
Vitamina C,mg,"0,45","0,50",BRC0680F,Nome não encontrado
Equivalente de folato,mcg,"16,0","17,6",BRC0680F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0680F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0680F,Nome não encontrado
Gordura de adição,g,-,-,BRC0680F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0680F,Nome não encontrado
Proteína animal,g,-,-,BRC0680F,Nome não encontrado
