componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (110 unidade),codigo_alimento,nome_alimento
Energia,kJ,1237,1360,BRC0592F,Nome não encontrado
Energia,kcal,296,326,BRC0592F,Nome não encontrado
Umidade,g,"47,0","51,7",BRC0592F,Nome não encontrado
Carboidrato total,g,"0,72","0,80",BRC0592F,Nome não encontrado
Carboidrato disponível,g,"0,60","0,66",BRC0592F,Nome não encontrado
Proteína,g,"31,8","35,0",BRC0592F,Nome não encontrado
Lipídios,g,"18,5","20,4",BRC0592F,Nome não encontrado
Fibra alimentar,g,"0,12","0,14",BRC0592F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0592F,Nome não encontrado
Cinzas,g,"1,96","2,16",BRC0592F,Nome não encontrado
Colesterol,mg,119,131,BRC0592F,Nome não encontrado
Ácidos graxos saturados,g,"5,85","6,43",BRC0592F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,51","7,16",BRC0592F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,99","5,49",BRC0592F,Nome não encontrado
Ácidos graxos trans,g,"0,21","0,23",BRC0592F,Nome não encontrado
Cálcio,mg,"66,6","73,2",BRC0592F,Nome não encontrado
Ferro,mg,"0,80","0,88",BRC0592F,Nome não encontrado
Sódio,mg,239,263,BRC0592F,Nome não encontrado
Magnésio,mg,"28,4","31,3",BRC0592F,Nome não encontrado
Fósforo,mg,278,306,BRC0592F,Nome não encontrado
Potássio,mg,397,436,BRC0592F,Nome não encontrado
Manganês,mg,"0,02","0,02",BRC0592F,Nome não encontrado
Zinco,mg,"2,07","2,28",BRC0592F,Nome não encontrado
Cobre,mg,"0,07","0,08",BRC0592F,Nome não encontrado
Selênio,mcg,"0,03","0,03",BRC0592F,Nome não encontrado
Vitamina A (RE),mcg,"9,25","10,2",BRC0592F,Nome não encontrado
Vitamina A (RAE),mcg,"9,25","10,2",BRC0592F,Nome não encontrado
Vitamina D,mcg,"1,33","1,46",BRC0592F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,63","0,69",BRC0592F,Nome não encontrado
Tiamina,mg,"0,32","0,36",BRC0592F,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0592F,Nome não encontrado
Niacina,mg,"3,08","3,39",BRC0592F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0592F,Nome não encontrado
Vitamina B12,mcg,"1,11","1,22",BRC0592F,Nome não encontrado
Vitamina C,mg,"0,41","0,45",BRC0592F,Nome não encontrado
Equivalente de folato,mcg,"0,63","0,69",BRC0592F,Nome não encontrado
Sal de adição,g,"0,45","0,50",BRC0592F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0592F,Nome não encontrado
Gordura de adição,g,-,-,BRC0592F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0592F,Nome não encontrado
Proteína animal,g,-,-,BRC0592F,Nome não encontrado
