componente,unidade,Valor por 100g,Colher sopa cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,659,362,BRC0226E,Nome não encontrado
Energia,kcal,156,85,BRC0226E,Nome não encontrado
Umidade,g,"60,5","33,3",BRC0226E,Nome não encontrado
Carboidrato total,g,"4,40","2,42",BRC0226E,Nome não encontrado
Carboidrato disponível,g,"4,40","2,42",BRC0226E,Nome não encontrado
Proteína,g,"29,8","16,4",BRC0226E,Nome não encontrado
Lipídios,g,"2,08","1,14",BRC0226E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0226E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0226E,Nome não encontrado
Cinzas,g,"3,20","1,76",BRC0226E,Nome não encontrado
Colesterol,mg,"96,0","52,8",BRC0226E,Nome não encontrado
Ácidos graxos saturados,g,"0,45","0,25",BRC0226E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,18",BRC0226E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,48","0,26",BRC0226E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0226E,Nome não encontrado
Cálcio,mg,106,"58,3",BRC0226E,Nome não encontrado
Ferro,mg,"9,54","5,25",BRC0226E,Nome não encontrado
Sódio,mg,463,254,BRC0226E,Nome não encontrado
Magnésio,mg,"60,0","33,0",BRC0226E,Nome não encontrado
Fósforo,mg,279,153,BRC0226E,Nome não encontrado
Potássio,mg,630,346,BRC0226E,Nome não encontrado
Manganês,mg,"0,05","0,03",BRC0226E,Nome não encontrado
Zinco,mg,"3,36","1,85",BRC0226E,Nome não encontrado
Cobre,mg,"0,74","0,41",BRC0226E,Nome não encontrado
Selênio,mcg,"89,6","49,3",BRC0226E,Nome não encontrado
Vitamina A (RE),mcg,-,-,BRC0226E,Nome não encontrado
Vitamina A (RAE),mcg,"90,0","49,5",BRC0226E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0226E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,20","0,66",BRC0226E,Nome não encontrado
Tiamina,mg,"0,06","0,03",BRC0226E,Nome não encontrado
Riboflavina,mg,"0,08","0,04",BRC0226E,Nome não encontrado
Niacina,mg,"3,78","2,08",BRC0226E,Nome não encontrado
Vitamina B6,mg,"0,65","0,36",BRC0226E,Nome não encontrado
Vitamina B12,mcg,"36,0","19,8",BRC0226E,Nome não encontrado
Vitamina C,mg,"8,00","4,40",BRC0226E,Nome não encontrado
Equivalente de folato,mcg,"24,0","13,2",BRC0226E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0226E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0226E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0226E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0226E,Nome não encontrado
Proteína animal,g,"29,8","16,4",BRC0226E,Nome não encontrado
