componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,365,474,BRC1089B,Nome não encontrado
Energia,kcal,87,113,BRC1089B,Nome não encontrado
Umidade,g,"82,0",106,BRC1089B,Nome não encontrado
Carboidrato total,g,"7,20","9,36",BRC1089B,Nome não encontrado
Carboidrato disponível,g,"6,05","7,87",BRC1089B,Nome não encontrado
Proteína,g,"6,14","7,98",BRC1089B,Nome não encontrado
Lipídios,g,"4,01","5,22",BRC1089B,Nome não encontrado
Fibra alimentar,g,"1,15","1,49",BRC1089B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1089B,Nome não encontrado
Cinzas,g,"0,63","0,82",BRC1089B,Nome não encontrado
Colesterol,mg,"14,4","18,7",BRC1089B,Nome não encontrado
Ácidos graxos saturados,g,"1,81","2,35",BRC1089B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,20","1,56",BRC1089B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,76",BRC1089B,Nome não encontrado
Ácidos graxos trans,g,"0,07","0,10",BRC1089B,Nome não encontrado
Cálcio,mg,"33,1","43,0",BRC1089B,Nome não encontrado
Ferro,mg,"0,65","0,85",BRC1089B,Nome não encontrado
Sódio,mg,"24,3","31,6",BRC1089B,Nome não encontrado
Magnésio,mg,"9,50","12,3",BRC1089B,Nome não encontrado
Fósforo,mg,"62,3","81,0",BRC1089B,Nome não encontrado
Potássio,mg,166,216,BRC1089B,Nome não encontrado
Manganês,mg,"0,16","0,20",BRC1089B,Nome não encontrado
Zinco,mg,"1,20","1,56",BRC1089B,Nome não encontrado
Cobre,mg,"0,06","0,07",BRC1089B,Nome não encontrado
Selênio,mcg,"1,63","2,12",BRC1089B,Nome não encontrado
Vitamina A (RE),mcg,273,355,BRC1089B,Nome não encontrado
Vitamina A (RAE),mcg,150,195,BRC1089B,Nome não encontrado
Vitamina D,mcg,"0,30","0,40",BRC1089B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,23","4,20",BRC1089B,Nome não encontrado
Tiamina,mg,"0,04","0,05",BRC1089B,Nome não encontrado
Riboflavina,mg,"0,05","0,07",BRC1089B,Nome não encontrado
Niacina,mg,"0,67","0,87",BRC1089B,Nome não encontrado
Vitamina B6,mg,"0,04","0,05",BRC1089B,Nome não encontrado
Vitamina B12,mcg,"0,28","0,37",BRC1089B,Nome não encontrado
Vitamina C,mg,"3,50","4,55",BRC1089B,Nome não encontrado
Equivalente de folato,mcg,"7,08","9,20",BRC1089B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1089B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1089B,Nome não encontrado
Gordura de adição,g,-,-,BRC1089B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1089B,Nome não encontrado
Proteína animal,g,-,-,BRC1089B,Nome não encontrado
