componente,unidade,Valor por 100g,Colher sopa cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,316,126,BRC0225E,Nome não encontrado
Energia,kcal,75,29,BRC0225E,Nome não encontrado
Umidade,g,"81,3","32,5",BRC0225E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0225E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0225E,Nome não encontrado
Proteína,g,"15,9","6,36",BRC0225E,Nome não encontrado
Lipídios,g,"1,24","0,50",BRC0225E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0225E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0225E,Nome não encontrado
Cinzas,g,"1,60","0,64",BRC0225E,Nome não encontrado
Colesterol,mg,"48,0","19,2",BRC0225E,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,09",BRC0225E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,16","0,06",BRC0225E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,10",BRC0225E,Nome não encontrado
Ácidos graxos trans,g,,,BRC0225E,Nome não encontrado
Cálcio,mg,"53,0","21,2",BRC0225E,Nome não encontrado
Ferro,mg,"5,30","2,12",BRC0225E,Nome não encontrado
Sódio,mg,230,"92,0",BRC0225E,Nome não encontrado
Magnésio,mg,"30,0","12,0",BRC0225E,Nome não encontrado
Fósforo,mg,186,"74,4",BRC0225E,Nome não encontrado
Potássio,mg,350,140,BRC0225E,Nome não encontrado
Manganês,mg,"0,03","0,01",BRC0225E,Nome não encontrado
Zinco,mg,"1,68","0,67",BRC0225E,Nome não encontrado
Cobre,mg,"0,44","0,17",BRC0225E,Nome não encontrado
Selênio,mcg,"44,8","17,9",BRC0225E,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0225E,Nome não encontrado
Vitamina A (RAE),mcg,"45,0","18,0",BRC0225E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0225E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,20","0,48",BRC0225E,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0225E,Nome não encontrado
Riboflavina,mg,"0,04","0,02",BRC0225E,Nome não encontrado
Niacina,mg,"2,10","0,84",BRC0225E,Nome não encontrado
Vitamina B6,mg,"0,36","0,14",BRC0225E,Nome não encontrado
Vitamina B12,mcg,"20,0","8,00",BRC0225E,Nome não encontrado
Vitamina C,mg,"5,00","2,00",BRC0225E,Nome não encontrado
Equivalente de folato,mcg,"16,0","6,40",BRC0225E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0225E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0225E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0225E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0225E,Nome não encontrado
Proteína animal,g,"14,9","5,96",BRC0225E,Nome não encontrado
