componente,unidade,Valor por 100g,Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,563,253,BRC0672A,Nome não encontrado
Energia,kcal,134,60,BRC0672A,Nome não encontrado
Umidade,g,"69,8","31,4",BRC0672A,Nome não encontrado
Carboidrato total,g,"16,3","7,35",BRC0672A,Nome não encontrado
Carboidrato disponível,g,"13,5","6,08",BRC0672A,Nome não encontrado
Proteína,g,"6,90","3,10",BRC0672A,Nome não encontrado
Lipídios,g,"5,16","2,32",BRC0672A,Nome não encontrado
Fibra alimentar,g,"2,83","1,27",BRC0672A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0672A,Nome não encontrado
Cinzas,g,"1,64","0,74",BRC0672A,Nome não encontrado
Colesterol,mg,"9,62","4,33",BRC0672A,Nome não encontrado
Ácidos graxos saturados,g,"2,55","1,15",BRC0672A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,46","0,66",BRC0672A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,57","0,26",BRC0672A,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,06",BRC0672A,Nome não encontrado
Cálcio,mg,108,"48,7",BRC0672A,Nome não encontrado
Ferro,mg,"1,56","0,70",BRC0672A,Nome não encontrado
Sódio,mg,544,244,BRC0672A,Nome não encontrado
Magnésio,mg,"9,83","4,42",BRC0672A,Nome não encontrado
Fósforo,mg,107,"48,4",BRC0672A,Nome não encontrado
Potássio,mg,193,"87,3",BRC0672A,Nome não encontrado
Manganês,mg,"0,16","0,07",BRC0672A,Nome não encontrado
Zinco,mg,"1,07","0,48",BRC0672A,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC0672A,Nome não encontrado
Selênio,mcg,"1,23","0,55",BRC0672A,Nome não encontrado
Vitamina A (RE),mcg,"22,0","9,89",BRC0672A,Nome não encontrado
Vitamina A (RAE),mcg,"11,1","4,99",BRC0672A,Nome não encontrado
Vitamina D,mcg,"0,08","0,03",BRC0672A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,95","0,43",BRC0672A,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0672A,Nome não encontrado
Riboflavina,mg,"0,06","0,03",BRC0672A,Nome não encontrado
Niacina,mg,"0,29","0,13",BRC0672A,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0672A,Nome não encontrado
Vitamina B12,mcg,"0,38","0,17",BRC0672A,Nome não encontrado
Vitamina C,mg,"0,74","0,33",BRC0672A,Nome não encontrado
Equivalente de folato,mcg,"42,4","19,1",BRC0672A,Nome não encontrado
Sal de adição,g,"0,47","0,21",BRC0672A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0672A,Nome não encontrado
Gordura de adição,g,-,-,BRC0672A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0672A,Nome não encontrado
Proteína animal,g,-,-,BRC0672A,Nome não encontrado
