componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,643,353,257,BRC0533A,Nome não encontrado
Energia,kcal,154,84,61,BRC0533A,Nome não encontrado
Umidade,g,"68,8","37,9","27,5",BRC0533A,Nome não encontrado
Carboidrato total,g,"15,7","8,64","6,28",BRC0533A,Nome não encontrado
Carboidrato disponível,g,"13,9","7,64","5,56",BRC0533A,Nome não encontrado
Proteína,g,"6,53","3,59","2,61",BRC0533A,Nome não encontrado
Lipídios,g,"7,60","4,18","3,04",BRC0533A,Nome não encontrado
Fibra alimentar,g,"1,81","1,00","0,72",BRC0533A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0533A,Nome não encontrado
Cinzas,g,"1,32","0,72","0,53",BRC0533A,Nome não encontrado
Colesterol,mg,"16,3","8,99","6,54",BRC0533A,Nome não encontrado
Ácidos graxos saturados,g,"1,97","1,08","0,79",BRC0533A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,57","1,41","1,03",BRC0533A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,29","1,26","0,92",BRC0533A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01",BRC0533A,Nome não encontrado
Cálcio,mg,"5,85","3,22","2,34",BRC0533A,Nome não encontrado
Ferro,mg,"0,36","0,20","0,15",BRC0533A,Nome não encontrado
Sódio,mg,352,193,140,BRC0533A,Nome não encontrado
Magnésio,mg,"20,5","11,3","8,18",BRC0533A,Nome não encontrado
Fósforo,mg,"76,9","42,3","30,8",BRC0533A,Nome não encontrado
Potássio,mg,172,"94,9","69,0",BRC0533A,Nome não encontrado
Manganês,mg,"0,17","0,09","0,07",BRC0533A,Nome não encontrado
Zinco,mg,"0,91","0,50","0,37",BRC0533A,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0533A,Nome não encontrado
Selênio,mcg,"0,56","0,31","0,22",BRC0533A,Nome não encontrado
Vitamina A (RE),mcg,"20,5","11,3","8,20",BRC0533A,Nome não encontrado
Vitamina A (RAE),mcg,"10,2","5,64","4,10",BRC0533A,Nome não encontrado
Vitamina D,mcg,"0,23","0,12","0,09",BRC0533A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,68","0,38","0,27",BRC0533A,Nome não encontrado
Tiamina,mg,"0,15","0,08","0,06",BRC0533A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01",BRC0533A,Nome não encontrado
Niacina,mg,"1,32","0,73","0,53",BRC0533A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04","0,03",BRC0533A,Nome não encontrado
Vitamina B12,mcg,"0,19","0,11","0,08",BRC0533A,Nome não encontrado
Vitamina C,mg,"3,77","2,08","1,51",BRC0533A,Nome não encontrado
Equivalente de folato,mcg,"6,08","3,34","2,43",BRC0533A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0533A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0533A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0533A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0533A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0533A,Nome não encontrado
