componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,199,39,29,BRC0110T,Nome não encontrado
Energia,kcal,48,9,7,BRC0110T,Nome não encontrado
Umidade,g,"87,3","17,5","13,1",BRC0110T,Nome não encontrado
Carboidrato total,g,"7,85","1,57","1,18",BRC0110T,Nome não encontrado
Carboidrato disponível,g,"4,41","0,88","0,66",BRC0110T,Nome não encontrado
Proteína,g,"2,59","0,52","0,39",BRC0110T,Nome não encontrado
Lipídios,g,"1,41","0,28","0,21",BRC0110T,Nome não encontrado
Fibra alimentar,g,"3,45","0,69","0,52",BRC0110T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0110T,Nome não encontrado
Cinzas,g,"0,82","0,16","0,12",BRC0110T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0110T,Nome não encontrado
Ácidos graxos saturados,g,"0,22","0,04","0,03",BRC0110T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,06","0,05",BRC0110T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,16","0,12",BRC0110T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0110T,Nome não encontrado
Cálcio,mg,"44,3","8,87","6,65",BRC0110T,Nome não encontrado
Ferro,mg,"0,60","0,12","0,09",BRC0110T,Nome não encontrado
Sódio,mg,"0,10","0,02","0,01",BRC0110T,Nome não encontrado
Magnésio,mg,"30,1","6,02","4,51",BRC0110T,Nome não encontrado
Fósforo,mg,"41,3","8,25","6,19",BRC0110T,Nome não encontrado
Potássio,mg,294,"58,9","44,2",BRC0110T,Nome não encontrado
Manganês,mg,"0,68","0,14","0,10",BRC0110T,Nome não encontrado
Zinco,mg,"0,50","0,10","0,07",BRC0110T,Nome não encontrado
Cobre,mg,"0,09","0,02","0,01",BRC0110T,Nome não encontrado
Selênio,mcg,"0,40","0,08","0,06",BRC0110T,Nome não encontrado
Vitamina A (RE),mcg,"35,5","7,11","5,33",BRC0110T,Nome não encontrado
Vitamina A (RAE),mcg,"17,8","3,55","2,66",BRC0110T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0110T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,11","0,08",BRC0110T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0110T,Nome não encontrado
Riboflavina,mg,"0,10","0,02","0,02",BRC0110T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0110T,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00",BRC0110T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0110T,Nome não encontrado
Vitamina C,mg,"1,69","0,34","0,25",BRC0110T,Nome não encontrado
Equivalente de folato,mcg,"28,5","5,70","4,28",BRC0110T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0110T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0110T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0110T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0110T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0110T,Nome não encontrado
