componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1492,223,BRC0031N,Nome não encontrado
Energia,kcal,356,53,BRC0031N,Nome não encontrado
Umidade,g,"12,2","1,83",BRC0031N,Nome não encontrado
Carboidrato total,g,"67,3","10,1",BRC0031N,Nome não encontrado
Carboidrato disponível,g,"51,3","7,70",BRC0031N,Nome não encontrado
Proteína,g,"8,70","1,31",BRC0031N,Nome não encontrado
Lipídios,g,"9,30","1,40",BRC0031N,Nome não encontrado
Fibra alimentar,g,"16,0","2,40",BRC0031N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0031N,Nome não encontrado
Cinzas,g,"2,48","0,37",BRC0031N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0031N,Nome não encontrado
Ácidos graxos saturados,g,"1,46","0,22",BRC0031N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,10","0,31",BRC0031N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,95","0,74",BRC0031N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0031N,Nome não encontrado
Cálcio,mg,"3,56","0,53",BRC0031N,Nome não encontrado
Ferro,mg,"1,76","0,26",BRC0031N,Nome não encontrado
Sódio,mg,603,"90,5",BRC0031N,Nome não encontrado
Magnésio,mg,"70,2","10,5",BRC0031N,Nome não encontrado
Fósforo,mg,176,"26,5",BRC0031N,Nome não encontrado
Potássio,mg,161,"24,3",BRC0031N,Nome não encontrado
Manganês,mg,"0,56","0,08",BRC0031N,Nome não encontrado
Zinco,mg,"2,76","0,41",BRC0031N,Nome não encontrado
Cobre,mg,"0,14","0,02",BRC0031N,Nome não encontrado
Selênio,mcg,,,BRC0031N,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0031N,Nome não encontrado
Vitamina A (RAE),mcg,"1,71","0,26",BRC0031N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0031N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"5,77","0,86",BRC0031N,Nome não encontrado
Tiamina,mg,"0,12","0,02",BRC0031N,Nome não encontrado
Riboflavina,mg,"0,05","0,01",BRC0031N,Nome não encontrado
Niacina,mg,"1,06","0,16",BRC0031N,Nome não encontrado
Vitamina B6,mg,"0,10","0,01",BRC0031N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0031N,Nome não encontrado
Vitamina C,mg,"0,27","0,04",BRC0031N,Nome não encontrado
Equivalente de folato,mcg,"22,2","3,33",BRC0031N,Nome não encontrado
Sal de adição,g,,,BRC0031N,Nome não encontrado
Açúcar de adição,g,,,BRC0031N,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0031N,Nome não encontrado
Proteína vegetal,g,"8,70","1,31",BRC0031N,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0031N,Nome não encontrado
