componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,372,74,483,BRC0506F,Nome não encontrado
Energia,kcal,89,17,115,BRC0506F,Nome não encontrado
Umidade,g,"81,9","16,4",106,BRC0506F,Nome não encontrado
Carboidrato total,g,"6,21","1,24","8,07",BRC0506F,Nome não encontrado
Carboidrato disponível,g,"5,36","1,07","6,97",BRC0506F,Nome não encontrado
Proteína,g,"7,55","1,51","9,82",BRC0506F,Nome não encontrado
Lipídios,g,"3,94","0,79","5,12",BRC0506F,Nome não encontrado
Fibra alimentar,g,"0,85","0,17","1,10",BRC0506F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0506F,Nome não encontrado
Cinzas,g,"0,42","0,08","0,55",BRC0506F,Nome não encontrado
Colesterol,mg,"12,8","2,57","16,7",BRC0506F,Nome não encontrado
Ácidos graxos saturados,g,"1,00","0,20","1,30",BRC0506F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,17","0,23","1,52",BRC0506F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,53","0,31","1,98",BRC0506F,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,01","0,07",BRC0506F,Nome não encontrado
Cálcio,mg,"7,01","1,40","9,11",BRC0506F,Nome não encontrado
Ferro,mg,"0,61","0,12","0,80",BRC0506F,Nome não encontrado
Sódio,mg,"14,0","2,80","18,2",BRC0506F,Nome não encontrado
Magnésio,mg,"6,80","1,36","8,85",BRC0506F,Nome não encontrado
Fósforo,mg,"56,0","11,2","72,9",BRC0506F,Nome não encontrado
Potássio,mg,124,"25,0",162,BRC0506F,Nome não encontrado
Manganês,mg,"0,08","0,02","0,10",BRC0506F,Nome não encontrado
Zinco,mg,"1,42","0,28","1,85",BRC0506F,Nome não encontrado
Cobre,mg,"0,05","0,01","0,07",BRC0506F,Nome não encontrado
Selênio,mcg,"0,58","0,12","0,76",BRC0506F,Nome não encontrado
Vitamina A (RE),mcg,"91,1","18,2",118,BRC0506F,Nome não encontrado
Vitamina A (RAE),mcg,"46,1","9,23","60,0",BRC0506F,Nome não encontrado
Vitamina D,mcg,"0,06","0,01","0,07",BRC0506F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,41","0,28","1,83",BRC0506F,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0506F,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0506F,Nome não encontrado
Niacina,mg,"0,67","0,13","0,87",BRC0506F,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0506F,Nome não encontrado
Vitamina B12,mcg,"0,27","0,05","0,35",BRC0506F,Nome não encontrado
Vitamina C,mg,"2,46","0,49","3,19",BRC0506F,Nome não encontrado
Equivalente de folato,mcg,"11,7","2,33","15,2",BRC0506F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0506F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0506F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0506F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0506F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0506F,Nome não encontrado
