componente,unidade,Valor por 100g,Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,1401,420,BRC0133K,Nome não encontrado
Energia,kcal,330,98,BRC0133K,Nome não encontrado
Umidade,g,"16,7","5,01",BRC0133K,Nome não encontrado
Carboidrato total,g,"82,8","24,8",BRC0133K,Nome não encontrado
Carboidrato disponível,g,"81,2","24,3",BRC0133K,Nome não encontrado
Proteína,g,"0,34","0,10",BRC0133K,Nome não encontrado
Lipídios,g,"0,07","0,02",BRC0133K,Nome não encontrado
Fibra alimentar,g,"1,60","0,48",BRC0133K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0133K,Nome não encontrado
Cinzas,g,"0,14","0,04",BRC0133K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0133K,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,00",BRC0133K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0133K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01",BRC0133K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0133K,Nome não encontrado
Cálcio,mg,"18,0","5,40",BRC0133K,Nome não encontrado
Ferro,mg,"0,17","0,05",BRC0133K,Nome não encontrado
Sódio,mg,"98,0","29,4",BRC0133K,Nome não encontrado
Magnésio,mg,"4,00","1,20",BRC0133K,Nome não encontrado
Fósforo,mg,"5,00","1,50",BRC0133K,Nome não encontrado
Potássio,mg,"56,0","16,8",BRC0133K,Nome não encontrado
Manganês,mg,"0,11","0,03",BRC0133K,Nome não encontrado
Zinco,mg,"0,05","0,02",BRC0133K,Nome não encontrado
Cobre,mg,"0,03","0,01",BRC0133K,Nome não encontrado
Selênio,mcg,"0,60","0,18",BRC0133K,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0133K,Nome não encontrado
Vitamina A (RAE),mcg,"1,00","0,30",BRC0133K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0133K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,01",BRC0133K,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0133K,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0133K,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0133K,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0133K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0133K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0133K,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0133K,Nome não encontrado
Sal de adição,g,,,BRC0133K,Nome não encontrado
Açúcar de adição,g,,,BRC0133K,Nome não encontrado
Gordura de adição,g,,,BRC0133K,Nome não encontrado
Proteína vegetal,g,"0,34","0,10",BRC0133K,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0133K,Nome não encontrado
