componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Umidade,g,"86,3",207,142,BRC1091A,Nome não encontrado
Carboidrato total,g,"11,4","27,4","18,9",BRC1091A,Nome não encontrado
Carboidrato disponível,g,"10,1","24,3","16,7",BRC1091A,Nome não encontrado
Proteína,g,"0,57","1,36","0,93",BRC1091A,Nome não encontrado
Lipídios,g,"1,28","3,07","2,11",BRC1091A,Nome não encontrado
Fibra alimentar,g,"1,29","3,10","2,13",BRC1091A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1091A,Nome não encontrado
Cinzas,g,"0,41","0,99","0,68",BRC1091A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1091A,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,50","0,35",BRC1091A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,70","1,69","1,16",BRC1091A,Nome não encontrado
Ácidos graxos poliinsaturados,g,170,408,280,BRC1091A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1091A,Nome não encontrado
Cálcio,mg,"69,4",166,114,BRC1091A,Nome não encontrado
Ferro,mg,"0,22","0,52","0,36",BRC1091A,Nome não encontrado
Sódio,mg,"21,7","52,1","35,8",BRC1091A,Nome não encontrado
Magnésio,mg,"15,5","37,1","25,5",BRC1091A,Nome não encontrado
Fósforo,mg,"37,8","90,7","62,4",BRC1091A,Nome não encontrado
Potássio,mg,116,279,192,BRC1091A,Nome não encontrado
Manganês,mg,"0,24","0,58","0,40",BRC1091A,Nome não encontrado
Zinco,mg,"0,13","0,32","0,22",BRC1091A,Nome não encontrado
Cobre,mg,"20,3","48,7","33,5",BRC1091A,Nome não encontrado
Selênio,mcg,"1,30","3,12","2,15",BRC1091A,Nome não encontrado
Vitamina A (RE),mcg,"34,5","82,7","56,9",BRC1091A,Nome não encontrado
Vitamina A (RAE),mcg,"51,5",123,"84,9",BRC1091A,Nome não encontrado
Vitamina D,mcg,"0,54","1,30","0,90",BRC1091A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,79","0,54",BRC1091A,Nome não encontrado
Tiamina,mg,"14,7","35,2","24,2",BRC1091A,Nome não encontrado
Riboflavina,mg,"77,2",185,127,BRC1091A,Nome não encontrado
Niacina,mg,"0,32","0,78","0,53",BRC1091A,Nome não encontrado
Vitamina B6,mg,"21,2","50,9","35,0",BRC1091A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1091A,Nome não encontrado
Vitamina C,mg,"19,7","47,4","32,6",BRC1091A,Nome não encontrado
Equivalente de folato,mcg,"16,7","40,0","27,5",BRC1091A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1091A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1091A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1091A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1091A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1091A,Nome não encontrado
