componente,unidade,Valor por 100g,Colher servir cheia (25 g),Colher sopa rasa (30 g),codigo_alimento,nome_alimento
Energia,kJ,1462,365,438,BRC0125K,Nome não encontrado
Energia,kcal,348,86,104,BRC0125K,Nome não encontrado
Umidade,g,"18,4","4,59","5,51",BRC0125K,Nome não encontrado
Carboidrato total,g,"64,7","16,2","19,4",BRC0125K,Nome não encontrado
Carboidrato disponível,g,"55,5","13,9","16,6",BRC0125K,Nome não encontrado
Proteína,g,"5,65","1,41","1,69",BRC0125K,Nome não encontrado
Lipídios,g,"9,42","2,36","2,83",BRC0125K,Nome não encontrado
Fibra alimentar,g,"9,25","2,31","2,78",BRC0125K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0125K,Nome não encontrado
Cinzas,g,"1,82","0,46","0,55",BRC0125K,Nome não encontrado
Colesterol,mg,"15,7","3,92","4,71",BRC0125K,Nome não encontrado
Ácidos graxos saturados,g,"5,61","1,40","1,68",BRC0125K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,69","0,67","0,81",BRC0125K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,23","0,06","0,07",BRC0125K,Nome não encontrado
Ácidos graxos trans,g,"0,18","0,04","0,05",BRC0125K,Nome não encontrado
Cálcio,mg,"75,3","18,8","22,6",BRC0125K,Nome não encontrado
Ferro,mg,"4,57","1,14","1,37",BRC0125K,Nome não encontrado
Sódio,mg,"23,7","5,92","7,10",BRC0125K,Nome não encontrado
Magnésio,mg,140,"35,1","42,1",BRC0125K,Nome não encontrado
Fósforo,mg,205,"51,4","61,7",BRC0125K,Nome não encontrado
Potássio,mg,494,123,148,BRC0125K,Nome não encontrado
Manganês,mg,"1,97","0,49","0,59",BRC0125K,Nome não encontrado
Zinco,mg,"1,85","0,46","0,56",BRC0125K,Nome não encontrado
Cobre,mg,"0,98","0,25","0,29",BRC0125K,Nome não encontrado
Selênio,mcg,"4,54","1,14","1,36",BRC0125K,Nome não encontrado
Vitamina A (RE),mcg,"74,4","18,6","22,3",BRC0125K,Nome não encontrado
Vitamina A (RAE),mcg,"73,3","18,3","22,0",BRC0125K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0125K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,02","0,02",BRC0125K,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,01",BRC0125K,Nome não encontrado
Riboflavina,mg,"0,12","0,03","0,04",BRC0125K,Nome não encontrado
Niacina,mg,"0,82","0,20","0,25",BRC0125K,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0125K,Nome não encontrado
Vitamina B12,mcg,"0,07","0,02","0,02",BRC0125K,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0125K,Nome não encontrado
Equivalente de folato,mcg,"8,00","2,00","2,40",BRC0125K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0125K,Nome não encontrado
Açúcar de adição,g,"50,0","12,5","15,0",BRC0125K,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0125K,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0125K,Nome não encontrado
Proteína animal,g,-,-,-,BRC0125K,Nome não encontrado
