componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,253,101,50,BRC0118E,Nome não encontrado
Energia,kcal,61,24,12,BRC0118E,Nome não encontrado
Umidade,g,"86,9","34,7","17,4",BRC0118E,Nome não encontrado
Carboidrato total,g,"4,87","1,95","0,97",BRC0118E,Nome não encontrado
Carboidrato disponível,g,"3,31","1,32","0,66",BRC0118E,Nome não encontrado
Proteína,g,"4,52","1,81","0,90",BRC0118E,Nome não encontrado
Lipídios,g,"2,91","1,16","0,58",BRC0118E,Nome não encontrado
Fibra alimentar,g,"1,56","0,62","0,31",BRC0118E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0118E,Nome não encontrado
Cinzas,g,"0,96","0,38","0,19",BRC0118E,Nome não encontrado
Colesterol,mg,"35,5","14,2","7,10",BRC0118E,Nome não encontrado
Ácidos graxos saturados,g,"0,46","0,18","0,09",BRC0118E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,99","0,40","0,20",BRC0118E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,18","0,47","0,24",BRC0118E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0118E,Nome não encontrado
Cálcio,mg,"23,8","9,51","4,75",BRC0118E,Nome não encontrado
Ferro,mg,"0,50","0,20","0,10",BRC0118E,Nome não encontrado
Sódio,mg,161,"64,6","32,3",BRC0118E,Nome não encontrado
Magnésio,mg,"16,4","6,54","3,27",BRC0118E,Nome não encontrado
Fósforo,mg,100,"40,3","20,2",BRC0118E,Nome não encontrado
Potássio,mg,174,"69,9","34,9",BRC0118E,Nome não encontrado
Manganês,mg,"0,07","0,03","0,01",BRC0118E,Nome não encontrado
Zinco,mg,"0,34","0,14","0,07",BRC0118E,Nome não encontrado
Cobre,mg,"0,10","0,04","0,02",BRC0118E,Nome não encontrado
Selênio,mcg,"8,63","3,45","1,73",BRC0118E,Nome não encontrado
Vitamina A (RE),mcg,"69,9","27,9","14,0",BRC0118E,Nome não encontrado
Vitamina A (RAE),mcg,"37,5","15,0","7,50",BRC0118E,Nome não encontrado
Vitamina D,mcg,"0,01","0,01","0,00",BRC0118E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,83","0,33","0,17",BRC0118E,Nome não encontrado
Tiamina,mg,"0,06","0,02","0,01",BRC0118E,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0118E,Nome não encontrado
Niacina,mg,"0,01","0,01","0,00",BRC0118E,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0118E,Nome não encontrado
Vitamina B12,mcg,"0,22","0,09","0,04",BRC0118E,Nome não encontrado
Vitamina C,mg,"12,6","5,05","2,52",BRC0118E,Nome não encontrado
Equivalente de folato,mcg,"15,6","6,25","3,13",BRC0118E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0118E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0118E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0118E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0118E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0118E,Nome não encontrado
