componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,794,238,BRC0170T,Nome não encontrado
Energia,kcal,188,56,BRC0170T,Nome não encontrado
Umidade,g,"47,3","14,2",BRC0170T,Nome não encontrado
Carboidrato total,g,"23,1","6,94",BRC0170T,Nome não encontrado
Carboidrato disponível,g,"18,3","5,50",BRC0170T,Nome não encontrado
Proteína,g,"25,4","7,61",BRC0170T,Nome não encontrado
Lipídios,g,"0,36","0,11",BRC0170T,Nome não encontrado
Fibra alimentar,g,"4,80","1,44",BRC0170T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0170T,Nome não encontrado
Cinzas,g,"3,79","1,14",BRC0170T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0170T,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,02",BRC0170T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,08","0,02",BRC0170T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,16","0,05",BRC0170T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0170T,Nome não encontrado
Cálcio,mg,"56,9","17,1",BRC0170T,Nome não encontrado
Ferro,mg,"4,44","1,33",BRC0170T,Nome não encontrado
Sódio,mg,269,"80,8",BRC0170T,Nome não encontrado
Magnésio,mg,"12,7","3,80",BRC0170T,Nome não encontrado
Fósforo,mg,251,"75,5",BRC0170T,Nome não encontrado
Potássio,mg,"38,1","11,4",BRC0170T,Nome não encontrado
Manganês,mg,"0,01","0,00",BRC0170T,Nome não encontrado
Zinco,mg,"1,31","0,39",BRC0170T,Nome não encontrado
Cobre,mg,"0,01","0,00",BRC0170T,Nome não encontrado
Selênio,mcg,"0,04","0,01",BRC0170T,Nome não encontrado
Vitamina A (RE),mcg,"24,4","7,33",BRC0170T,Nome não encontrado
Vitamina A (RAE),mcg,"12,2","3,66",BRC0170T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0170T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,01",BRC0170T,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0170T,Nome não encontrado
Riboflavina,mg,"0,03","0,01",BRC0170T,Nome não encontrado
Niacina,mg,"0,38","0,11",BRC0170T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01",BRC0170T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0170T,Nome não encontrado
Vitamina C,mg,"0,28","0,08",BRC0170T,Nome não encontrado
Equivalente de folato,mcg,"1,45","0,44",BRC0170T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0170T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0170T,Nome não encontrado
Gordura de adição,g,-,-,BRC0170T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0170T,Nome não encontrado
Proteína animal,g,-,-,BRC0170T,Nome não encontrado
