componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,321,64,417,BRC0135T,Nome não encontrado
Energia,kcal,89,17,115,BRC0135T,Nome não encontrado
Umidade,g,"80,0","16,0",103,BRC0135T,Nome não encontrado
Carboidrato total,g,"12,5","2,50","16,3",BRC0135T,Nome não encontrado
Carboidrato disponível,g,"10,5","2,11","13,7",BRC0135T,Nome não encontrado
Proteína,g,"4,06","0,81","5,28",BRC0135T,Nome não encontrado
Lipídios,g,"2,96","0,59","3,85",BRC0135T,Nome não encontrado
Fibra alimentar,g,"1,98","0,40","2,57",BRC0135T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0135T,Nome não encontrado
Cinzas,g,"0,52","0,10","0,67",BRC0135T,Nome não encontrado
Colesterol,mg,"5,93","1,19","7,71",BRC0135T,Nome não encontrado
Ácidos graxos saturados,g,"1,36","0,27","1,77",BRC0135T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,75","0,15","0,97",BRC0135T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,12","0,75",BRC0135T,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,01","0,06",BRC0135T,Nome não encontrado
Cálcio,mg,"31,6","6,33","41,1",BRC0135T,Nome não encontrado
Ferro,mg,"0,70","0,14","0,90",BRC0135T,Nome não encontrado
Sódio,mg,"18,0","3,60","23,4",BRC0135T,Nome não encontrado
Magnésio,mg,"13,8","2,76","17,9",BRC0135T,Nome não encontrado
Fósforo,mg,"74,1","14,8","96,4",BRC0135T,Nome não encontrado
Potássio,mg,126,"25,4",165,BRC0135T,Nome não encontrado
Manganês,mg,"0,09","0,02","0,11",BRC0135T,Nome não encontrado
Zinco,mg,"0,63","0,13","0,82",BRC0135T,Nome não encontrado
Cobre,mg,"0,12","0,02","0,15",BRC0135T,Nome não encontrado
Selênio,mcg,"1,46","0,29","1,90",BRC0135T,Nome não encontrado
Vitamina A (RE),mcg,"63,2","12,6","82,2",BRC0135T,Nome não encontrado
Vitamina A (RAE),mcg,"45,0","8,99","58,4",BRC0135T,Nome não encontrado
Vitamina D,mcg,"0,26","0,05","0,34",BRC0135T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,03","0,22",BRC0135T,Nome não encontrado
Tiamina,mg,"0,09","0,02","0,12",BRC0135T,Nome não encontrado
Riboflavina,mg,"0,07","0,01","0,09",BRC0135T,Nome não encontrado
Niacina,mg,"0,74","0,15","0,96",BRC0135T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0135T,Nome não encontrado
Vitamina B12,mcg,"0,08","0,02","0,11",BRC0135T,Nome não encontrado
Vitamina C,mg,"0,66","0,13","0,86",BRC0135T,Nome não encontrado
Equivalente de folato,mcg,"28,7","5,74","37,3",BRC0135T,Nome não encontrado
Sal de adição,g,"0,45","0,09","0,59",BRC0135T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0135T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0135T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0135T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0135T,Nome não encontrado
