componente,unidade,Valor por 100g,Colher sobremesa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1116,111,BRC0029U,Nome não encontrado
Energia,kcal,269,26,BRC0029U,Nome não encontrado
Umidade,g,"56,6","5,66",BRC0029U,Nome não encontrado
Carboidrato total,g,"15,3","1,53",BRC0029U,Nome não encontrado
Carboidrato disponível,g,"12,8","1,28",BRC0029U,Nome não encontrado
Proteína,g,"6,28","0,63",BRC0029U,Nome não encontrado
Lipídios,g,"20,8","2,08",BRC0029U,Nome não encontrado
Fibra alimentar,g,"2,49","0,25",BRC0029U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0029U,Nome não encontrado
Cinzas,g,"0,97","0,10",BRC0029U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0029U,Nome não encontrado
Ácidos graxos saturados,g,"9,60","0,96",BRC0029U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,33","0,73",BRC0029U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,06","0,31",BRC0029U,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0029U,Nome não encontrado
Cálcio,mg,"82,2","8,22",BRC0029U,Nome não encontrado
Ferro,mg,"1,75","0,18",BRC0029U,Nome não encontrado
Sódio,mg,"34,1","3,41",BRC0029U,Nome não encontrado
Magnésio,mg,"62,9","6,29",BRC0029U,Nome não encontrado
Fósforo,mg,101,"10,2",BRC0029U,Nome não encontrado
Potássio,mg,252,"25,2",BRC0029U,Nome não encontrado
Manganês,mg,"0,71","0,07",BRC0029U,Nome não encontrado
Zinco,mg,"0,88","0,09",BRC0029U,Nome não encontrado
Cobre,mg,"0,31","0,03",BRC0029U,Nome não encontrado
Selênio,mcg,"1,22","0,12",BRC0029U,Nome não encontrado
Vitamina A (RE),mcg,"15,8","1,58",BRC0029U,Nome não encontrado
Vitamina A (RAE),mcg,"15,8","1,58",BRC0029U,Nome não encontrado
Vitamina D,mcg,"0,13","0,01",BRC0029U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,47","0,15",BRC0029U,Nome não encontrado
Tiamina,mg,"0,04","0,00",BRC0029U,Nome não encontrado
Riboflavina,mg,"0,01","0,00",BRC0029U,Nome não encontrado
Niacina,mg,"1,09","0,11",BRC0029U,Nome não encontrado
Vitamina B6,mg,"0,07","0,01",BRC0029U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0029U,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0029U,Nome não encontrado
Equivalente de folato,mcg,"23,0","2,30",BRC0029U,Nome não encontrado
Sal de adição,g,,,BRC0029U,Nome não encontrado
Açúcar de adição,g,,,BRC0029U,Nome não encontrado
Gordura de adição,g,-,-,BRC0029U,Nome não encontrado
Proteína vegetal,g,-,-,BRC0029U,Nome não encontrado
Proteína animal,g,-,-,BRC0029U,Nome não encontrado
