componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,561,561,BRC0211E,Nome não encontrado
Energia,kcal,133,133,BRC0211E,Nome não encontrado
Umidade,g,"70,5","70,5",BRC0211E,Nome não encontrado
Carboidrato total,g,"2,73","2,73",BRC0211E,Nome não encontrado
Carboidrato disponível,g,"2,68","2,68",BRC0211E,Nome não encontrado
Proteína,g,"19,7","19,7",BRC0211E,Nome não encontrado
Lipídios,g,"4,88","4,88",BRC0211E,Nome não encontrado
Fibra alimentar,g,"0,05","0,05",BRC0211E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0211E,Nome não encontrado
Cinzas,g,"2,25","2,25",BRC0211E,Nome não encontrado
Colesterol,mg,"62,0","62,0",BRC0211E,Nome não encontrado
Ácidos graxos saturados,g,"2,66","2,66",BRC0211E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,05","1,05",BRC0211E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","0,77",BRC0211E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01",BRC0211E,Nome não encontrado
Cálcio,mg,193,193,BRC0211E,Nome não encontrado
Ferro,mg,"1,40","1,40",BRC0211E,Nome não encontrado
Sódio,mg,133,133,BRC0211E,Nome não encontrado
Magnésio,mg,"30,9","30,9",BRC0211E,Nome não encontrado
Fósforo,mg,310,310,BRC0211E,Nome não encontrado
Potássio,mg,342,342,BRC0211E,Nome não encontrado
Manganês,mg,"0,10","0,10",BRC0211E,Nome não encontrado
Zinco,mg,"1,81","1,81",BRC0211E,Nome não encontrado
Cobre,mg,"0,13","0,13",BRC0211E,Nome não encontrado
Selênio,mcg,"47,6","47,6",BRC0211E,Nome não encontrado
Vitamina A (RE),mcg,"0,48","0,48",BRC0211E,Nome não encontrado
Vitamina A (RAE),mcg,"0,24","0,24",BRC0211E,Nome não encontrado
Vitamina D,mcg,"0,96","0,96",BRC0211E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,73","0,73",BRC0211E,Nome não encontrado
Tiamina,mg,"0,02","0,02",BRC0211E,Nome não encontrado
Riboflavina,mg,"0,14","0,14",BRC0211E,Nome não encontrado
Niacina,mg,"7,50","7,50",BRC0211E,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0211E,Nome não encontrado
Vitamina B12,mcg,"4,59","4,59",BRC0211E,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0211E,Nome não encontrado
Equivalente de folato,mcg,"9,89","9,89",BRC0211E,Nome não encontrado
Sal de adição,g,"0,45","0,45",BRC0211E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0211E,Nome não encontrado
Gordura de adição,g,-,-,BRC0211E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0211E,Nome não encontrado
Proteína animal,g,-,-,BRC0211E,Nome não encontrado
